"Population","shapeRisk","v_to_h","aImp","aImp_2000","aImp_2001","aImp_2002","aImp_2003","aImp_2004","aImp_2005","aImp_2006","aImp_2007","aImp_2008","aImp_2009","aImp_2010","aImp_2011","aImp_2012","aImp_2013","aImp_2014","aImp_2015","aImp_2016","aImp_2017","aImp_2018","aImp_2019","aImp_2020"
297,0.551403,14.1621,6.1752e-05,6.1736449798645e-05,6.1736449798645e-05,6.1736449798645e-05,6.16693552614597e-05,6.16693552614597e-05,6.16693552614597e-05,6.16693552614597e-05,6.14898995937426e-05,6.14031562648773e-05,6.1248996711952e-05,6.10055504521648e-05,6.0868846054835e-05,5.96721347381592e-05,5.82525613148938e-05,5.4392371120333e-05,5.00952189596834e-05,4.78544968980258e-05,4.5959841841944e-05,4.39412308436888e-05,4.19022079831303e-05,0
289,0.884927,6.78947,0.000150186,0.000150148180616973,0.000150148180616973,0.000150148180616973,0.000149985001122192,0.000149985001122192,0.000149985001122192,0.000149985001122192,0.000149548550012726,0.000149337583022362,0.000148962654167982,0.000148370572616414,0.000148038096152213,0.000145127594697907,0.000141675074064624,0.000132286770454047,0.000121835738999207,0.000116386116581275,0.00011177815790378,0.00010686872806533,0.000101909654880075,0
327,0.260313,6.87292,0.000167876,0.000167833725974824,0.000167833725974824,0.000167833725974824,0.000167651326011673,0.000167651326011673,0.000167651326011673,0.000167651326011673,0.000167163466514431,0.000166927650296712,0.000166508559593465,0.000165846738368111,0.000165475100406489,0.000162221778910857,0.000158362595273013,0.000147868468943468,0.000136186438950573,0.000130094920346758,0.000124944202763606,0.000119456504552324,0.00011391331563959,0
319,0.474082,30.6922,3.52396e-05,3.52307260708047e-05,3.52307260708047e-05,3.52307260708047e-05,3.51924376809129e-05,3.51924376809129e-05,3.51924376809129e-05,3.51924376809129e-05,3.50900289176651e-05,3.50405276835045e-05,3.49525544845593e-05,3.4813628638977e-05,3.47356164566972e-05,3.40526972295446e-05,3.32425987775672e-05,3.10397299088626e-05,2.85875028833343e-05,2.73088050409326e-05,2.62275949373845e-05,2.50756477270252e-05,2.39120522159982e-05,0
299,0.739059,36.3102,0.000180802,0.000180756470988707,0.000180756470988707,0.000180756470988707,0.000180560026719498,0.000180560026719498,0.000180560026719498,0.000180560026719498,0.000180034603354513,0.000179780629922956,0.000179329270363945,0.000178616490686169,0.000178216237602123,0.000174712419110776,0.00017055608872353,0.000159253942921661,0.000146672428072754,0.000140111878937635,0.0001345645699687,0.000128654333770576,0.000122684334236396,0
324,0.135735,8.66487,8.46242e-05,8.46028901906091e-05,8.46028901906091e-05,8.46028901906091e-05,8.45109446417414e-05,8.45109446417414e-05,8.45109446417414e-05,8.45109446417414e-05,8.42650207475191e-05,8.41461487302473e-05,8.39348903282739e-05,8.36012744943335e-05,8.34139364281897e-05,8.1773977596012e-05,7.98286112065008e-05,7.45386528721544e-05,6.86498871014387e-05,6.55792284686798e-05,6.29828159088132e-05,6.02165356128141e-05,5.74222831455826e-05,0
310,0.358222,32.3347,7.92749e-05,7.92549372351114e-05,7.92549372351114e-05,7.92549372351114e-05,7.91688037863825e-05,7.91688037863825e-05,7.91688037863825e-05,7.91688037863825e-05,7.89384253352764e-05,7.88270675052229e-05,7.86291632569038e-05,7.83166360853141e-05,7.81411401106432e-05,7.66048470357899e-05,7.47824519526829e-05,6.98268846568092e-05,6.43103619883891e-05,6.14338071016535e-05,5.90015200485154e-05,5.6410103008977e-05,5.37924819866864e-05,0
312,0.405431,23.3245,0.000125817,0.000125785317144645,0.000125785317144645,0.000125785317144645,0.000125648614958723,0.000125648614958723,0.000125648614958723,0.000125648614958723,0.00012528298188214,0.00012510624614228,0.000124792152793556,0.000124296141683508,0.000124017612451114,0.000121579365467531,0.000118687046686034,0.000110822077944794,0.000102066818303059,9.750144507415e-05,9.36411682379172e-05,8.95283365892667e-05,8.53739166636467e-05,0
323,0.838197,36.2964,0.000104319,0.000104292730705805,0.000104292730705805,0.000104292730705805,0.000104179386441252,0.000104179386441252,0.000104179386441252,0.000104179386441252,0.000103876228069045,0.000103729690672298,0.000103469265578348,0.000103058006503747,0.000102827068784725,0.000100805438265158,9.84073219297902e-05,9.188621846907e-05,8.46269456318048e-05,8.08416449978163e-05,7.76409629017643e-05,7.42308793299452e-05,7.07863135540901e-05,0
674,0.384959,24.711,0.000123476,0.000123444906648165,0.000123444906648165,0.000123444906648165,0.000123310747996243,0.000123310747996243,0.000123310747996243,0.000123310747996243,0.000122951918030784,0.000122778470704787,0.00012247022149898,0.000121983439364417,0.000121710092555169,0.000119317212542573,0.000116478709368406,0.000108760079292237,0.000100167723414074,9.5687295293766e-05,9.18988442686208e-05,8.78625375640518e-05,8.37854163901574e-05,0
708,0.664436,13.0758,0.000127371,0.000127338925821078,0.000127338925821078,0.000127338925821078,0.000127200535189263,0.000127200535189263,0.000127200535189263,0.000127200535189263,0.000126830386079068,0.000126651467427997,0.000126333494626863,0.000125831357148638,0.00012554938772591,0.000123081025290421,0.000120152982692696,0.000112190871582587,0.000103327473346836,9.87057119510048e-05,9.47977557852417e-05,9.06341254338563e-05,8.64283931373768e-05,0
684,0.369297,25.3426,9.83981e-05,9.83733216888854e-05,9.83733216888854e-05,9.83733216888854e-05,9.82664105770281e-05,9.82664105770281e-05,9.82664105770281e-05,9.82664105770281e-05,9.79804587578548e-05,9.7842238477572e-05,9.75965944967341e-05,9.72086775156619e-05,9.69908472760115e-05,9.50839597288973e-05,9.28219548114887e-05,8.66709737779446e-05,7.98237201178395e-05,7.62532642055583e-05,7.32342452640851e-05,7.00177099799258e-05,6.67686496201719e-05,0
641,0.164714,9.31265,0.000242481,0.00024241993916999,0.00024241993916999,0.00024241993916999,0.000242156479679266,0.000242156479679266,0.000242156479679266,0.000242156479679266,0.000241451812789712,0.000241111198572738,0.000240505861700201,0.000239549923552134,0.000239013127675581,0.000234314012557384,0.00022873978689268,0.000213582014212162,0.000196708427072208,0.000187909804740416,0.000180470080477983,0.000172543619578451,0.0001645370076104,0
697,0.258587,17.1937,5.2247e-05,5.22338433189177e-05,5.22338433189177e-05,5.22338433189177e-05,5.21770761164899e-05,5.21770761164899e-05,5.21770761164899e-05,5.21770761164899e-05,5.20252426492141e-05,5.19518510391736e-05,5.18214200545627e-05,5.16154455640992e-05,5.14997830001776e-05,5.04872720505345e-05,4.92862024067116e-05,4.60201809483747e-05,4.2384455644944e-05,4.04886303185509e-05,3.88856046235919e-05,3.71777025503662e-05,3.54525304523677e-05,0
712,0.771133,14.9818,7.56342e-05,7.56151540251437e-05,7.56151540251437e-05,7.56151540251437e-05,7.5532976255284e-05,7.5532976255284e-05,7.5532976255284e-05,7.5532976255284e-05,7.5313177935177e-05,7.52069342137742e-05,7.50181187186021e-05,7.47199443582252e-05,7.45525080366725e-05,7.30867692254969e-05,7.13480676415815e-05,6.6620084787367e-05,6.13569084376293e-05,5.86124593419592e-05,5.62918750784097e-05,5.3819468873522e-05,5.13220621038618e-05,0
687,0.706455,18.8803,7.92234e-05,7.92034502036852e-05,7.92034502036852e-05,7.92034502036852e-05,7.91173727105312e-05,7.91173727105312e-05,7.91173727105312e-05,7.91173727105312e-05,7.88871439220578e-05,7.87758584342998e-05,7.8578082752132e-05,7.82657586101184e-05,7.80903766443292e-05,7.6555081604079e-05,7.47338704183566e-05,6.97815224480922e-05,6.42685835232961e-05,6.13938973563781e-05,5.89631904097206e-05,5.6373456853574e-05,5.37575363377822e-05,0
719,0.46515,17.2881,0.000118477,0.000118447165481184,0.000118447165481184,0.000118447165481184,0.000118318438322839,0.000118318438322839,0.000118318438322839,0.000118318438322839,0.000117974135803988,0.000117807710597128,0.000117511941045504,0.000117044866577943,0.000116782586378396,0.000114486583549891,0.000111762998881084,0.000104356862178127,9.61123729868897e-05,9.18133376892636e-05,8.81782643786111e-05,8.43053699745389e-05,8.03933134994386e-05,0
746,0.0990643,3.40076,0.000136481,0.000136446631768507,0.000136446631768507,0.000136446631768507,0.000136298342975762,0.000136298342975762,0.000136298342975762,0.000136298342975762,0.000135901719562987,0.000135710004051476,0.000135369288771925,0.000134831236741513,0.000134529099922431,0.000131884191948418,0.000128746725949249,0.000120215138017783,0.000110717799890474,0.00010576547465895,0.000101578008395361,9.71165812731166e-05,9.26100409338258e-05,0
1107,0.970849,15.9203,0.000103202,0.000103176011985357,0.000103176011985357,0.000103176011985357,0.000103063881359197,0.000103063881359197,0.000103063881359197,0.000103063881359197,0.000102763969067778,0.000102619000726258,0.000102361364144754,0.000101954508643676,0.000101726043699817,9.97260598725144e-05,9.73536214668298e-05,9.09023429906821e-05,8.3720799117069e-05,7.99760297459201e-05,7.68096190855729e-05,7.34360491244069e-05,7.00283661788285e-05,0
1036,0.198432,9.96886,4.72261e-05,4.7214207666728e-05,4.7214207666728e-05,4.7214207666728e-05,4.71628957525784e-05,4.71628957525784e-05,4.71628957525784e-05,4.71628957525784e-05,4.70256533748551e-05,4.69593146469867e-05,4.6841417988378e-05,4.66552375017648e-05,4.65506900289909e-05,4.56354806703877e-05,4.45498329756657e-05,4.15976738853148e-05,3.83113392296914e-05,3.65977013854751e-05,3.5148725333784e-05,3.36049514501091e-05,3.2045567178911e-05,0
973,0.415262,23.0975,2.9165e-05,2.91576557581533e-05,2.91576557581533e-05,2.91576557581533e-05,2.91259675184686e-05,2.91259675184686e-05,2.91259675184686e-05,2.91259675184686e-05,2.90412119712965e-05,2.90002437567228e-05,2.89274353721998e-05,2.88124575550166e-05,2.87478931077417e-05,2.81826954534009e-05,2.75122417208978e-05,2.56891032472553e-05,2.36595909599554e-05,2.26013149700564e-05,2.17064837951855e-05,2.0753109171463e-05,1.97900941803989e-05,0
1008,0.567105,38.2076,7.2097e-05,7.20788447521199e-05,7.20788447521199e-05,7.20788447521199e-05,7.20005102067214e-05,7.20005102067214e-05,7.20005102067214e-05,7.20005102067214e-05,7.17909912393131e-05,7.16897162396175e-05,7.15097311170748e-05,7.12255015375976e-05,7.10658957445174e-05,6.96687054381569e-05,6.80113180645145e-05,6.35044497451523e-05,5.84874174332215e-05,5.58713185460708e-05,5.36592615183092e-05,5.13024828367897e-05,4.89218727969903e-05,0
