"Population","shapeRisk","v_to_h","aImp","aImp_2000","aImp_2001","aImp_2002","aImp_2003","aImp_2004","aImp_2005","aImp_2006","aImp_2007","aImp_2008","aImp_2009","aImp_2010","aImp_2011","aImp_2012","aImp_2013","aImp_2014","aImp_2015","aImp_2016","aImp_2017","aImp_2018","aImp_2019","aImp_2020"
573,0.275261,15.4033,0.000190428,0.000190428,0.000190428,0.000190428,0.000189958373927657,0.000189958373927657,0.000189369028833364,0.000189154421764747,0.000188904177033834,0.000188842750205581,0.000188363769114614,0.000184581098011962,0.000178400651682405,0.000173585506211863,0.000168962485196575,0.000131316691242231,0.000131316691242231,0.000128378152563172,0.000119891826304591,9.3092032139258e-05,7.1670320553826e-05,0
526,0.292706,16.3367,9.67753e-05,9.67753e-05,9.67753e-05,9.67753e-05,9.65366365469425e-05,9.65366365469425e-05,9.62371320187021e-05,9.61280689426445e-05,9.60008948458335e-05,9.59696777993264e-05,9.57262601361015e-05,9.38039108452382e-05,9.06630148232415e-05,8.82159631950391e-05,8.58665490035293e-05,6.67349979518466e-05,6.67349979518466e-05,6.52416358295351e-05,6.09288941656412e-05,4.73092682687752e-05,3.64227780194755e-05,0
431,0.889332,23.4246,0.000129532,0.000129532,0.000129532,0.000129532,0.000129212553256859,0.000129212553256859,0.000128811671827899,0.000128665692860457,0.000128495472617192,0.000128453689161412,0.000128127878993395,0.000125554849012149,0.000121350816128538,0.000118075481497653,0.000114930832821238,8.932359553211e-05,8.932359553211e-05,8.73247571670802e-05,8.15522299498305e-05,6.33226054312515e-05,4.87512338625527e-05,0
374,0.733831,32.9872,6.11106e-05,6.11106e-05,6.11106e-05,6.11106e-05,6.09598914326856e-05,6.09598914326856e-05,6.0770763613671e-05,6.0701893664255e-05,6.06215871670332e-05,6.06018745705104e-05,6.044816386695e-05,5.92342599206514e-05,5.72508815127123e-05,5.57056443165432e-05,5.42220621329521e-05,4.21410811006127e-05,4.21410811006127e-05,4.11980692441603e-05,3.84747066637751e-05,2.98743353879122e-05,2.29998544921789e-05,0
466,0.358569,13.009,0.00017461,0.00017461,0.00017461,0.00017461,0.000174179383659484,0.000174179383659484,0.0001736389928193,0.000173442212197484,0.000173212754174164,0.00017315642979707,0.000172717235517376,0.000169248773940117,0.000163581709571411,0.000159166536641951,0.000154927529250813,0.000120408802580534,0.000120408802580534,0.000117714355131889,0.000109932949939319,8.5359294493645e-05,6.57169884255653e-05,0
478,0.41468,38.4075,5.24131e-05,5.24131e-05,5.24131e-05,5.24131e-05,5.22838408664045e-05,5.22838408664045e-05,5.21216304595226e-05,5.20625623511136e-05,5.19936853891867e-05,5.19767783666274e-05,5.18449443725775e-05,5.08038079915284e-05,4.91027117687265e-05,4.77773987839656e-05,4.65049658288518e-05,3.61433973457063e-05,3.61433973457063e-05,3.53345986310247e-05,3.29988356821748e-05,2.56225029392639e-05,1.9726425096203e-05,0
487,0.404882,35.4451,3.6059e-05,3.6059e-05,3.6059e-05,3.6059e-05,3.59700727070461e-05,3.59700727070461e-05,3.58584757005391e-05,3.58178382087456e-05,3.57704524527014e-05,3.57588208123965e-05,3.56681220750303e-05,3.4951844335987e-05,3.37815294967958e-05,3.28697448300333e-05,3.19943404000635e-05,2.48658210426177e-05,2.48658210426177e-05,2.43093862419151e-05,2.2702435380917e-05,1.76276891366265e-05,1.35713240114396e-05,0
467,0.0611786,8.64183,3.05869e-05,3.05869e-05,3.05869e-05,3.05869e-05,3.0511467785661e-05,3.0511467785661e-05,3.04168060790598e-05,3.03823354920292e-05,3.03421407173114e-05,3.03322742257603e-05,3.02553393909078e-05,2.96477597138135e-05,2.86550449143222e-05,2.78816272814483e-05,2.71390690363765e-05,2.10923315024943e-05,2.10923315024943e-05,2.06203379473317e-05,1.92572484193286e-05,1.49526155704007e-05,1.15118203612274e-05,0
590,0.348822,28.3509,2.75744e-05,2.75744e-05,2.75744e-05,2.75744e-05,2.75063970951267e-05,2.75063970951267e-05,2.74210586083071e-05,2.7389983025132e-05,2.73537470288075e-05,2.73448522867896e-05,2.72754947543115e-05,2.67277555245082e-05,2.58328130829043e-05,2.51355692570861e-05,2.44661454817801e-05,1.90149503801425e-05,1.90149503801425e-05,1.85894434118823e-05,1.73606044029939e-05,1.34799343112397e-05,1.0378022596884e-05,0
407,0.31289,10.7443,0.00018845,0.00018845,0.00018845,0.00018845,0.000187985251993756,0.000187985251993756,0.00018740202850236,0.000187189650584822,0.000186942005177946,0.000186881216398018,0.000186407210544925,0.000182663830530984,0.000176547581288199,0.000171782451349726,0.000167207450245208,0.000129952687969198,0.000129952687969198,0.000127044672267365,0.000118646494565401,9.21250732909192e-05,7.09258717644911e-05,0
