"Population","shapeRisk","v_to_h","aImp","aImp_2000","aImp_2001","aImp_2002","aImp_2003","aImp_2004","aImp_2005","aImp_2006","aImp_2007","aImp_2008","aImp_2009","aImp_2010","aImp_2011","aImp_2012","aImp_2013","aImp_2014","aImp_2015","aImp_2016","aImp_2017","aImp_2018","aImp_2019","aImp_2020"
1206,0.595295,46.2438,5.3625e-05,5.3625e-05,5.3625e-05,5.3625e-05,5.35178845974317e-05,5.34701393509701e-05,5.34372765158653e-05,5.34149308984438e-05,5.32356443151592e-05,5.31266997203283e-05,4.26757475990108e-05,3.45108974775156e-05,3.27367354874451e-05,3.20397519212947e-05,3.12180004806137e-05,3.02069991948144e-05,2.78078028050745e-05,2.05461059367865e-05,1.53617569710583e-05,1.13535672454718e-05,1.13299988969124e-05,0
548,0.907379,10.8385,9.00068e-05,9.00068e-05,9.00068e-05,9.00068e-05,8.98270123148554e-05,8.9746874378273e-05,8.96917158024837e-05,8.96542098347795e-05,8.93532865407118e-05,8.91704286505854e-05,7.16290438973361e-05,5.79247635818974e-05,5.49469240777878e-05,5.37770730672185e-05,5.23978056066854e-05,5.07008920303557e-05,4.66739644851428e-05,3.44855803791357e-05,2.57839177126834e-05,1.90563777407875e-05,1.90168194818577e-05,0
759,0.108961,8.46331,0.000157058,0.000157058,0.000157058,0.000157058,0.000156744278211719,0.000156604440954492,0.000156508191608928,0.000156442745306252,0.000155917647083455,0.000155598567919353,0.000124989604967934,0.000101076224447993,9.58800224184084e-05,9.38386826527684e-05,9.14319201768621e-05,8.84708788725252e-05,8.144406327197e-05,6.01758565262436e-05,4.4991828929799e-05,3.32525606422249e-05,3.31835331795109e-05,0
887,0.318831,25.4336,5.15353e-05,5.15353e-05,5.15353e-05,5.15353e-05,5.14323587523361e-05,5.13864740791431e-05,5.13548918681226e-05,5.13334170318055e-05,5.11611170251752e-05,5.10564178666113e-05,4.1012726438029e-05,3.31660504386575e-05,3.14610253494849e-05,3.07912023718322e-05,3.00014735695771e-05,2.90298697548628e-05,2.67241670843889e-05,1.9745449571731e-05,1.47631282802905e-05,1.09111327564674e-05,1.08884828373343e-05,0
1215,0.721963,10.8156,0.000231542,0.000231542,0.000231542,0.000231542,0.000231079497164728,0.000230873342761815,0.00023073144762772,0.000230634963731235,0.000229860840205512,0.000229390439284741,0.000184265323087556,0.00014901113703942,0.000141350661225809,0.000138341225908819,0.000134793067921347,0.000130427767040853,0.00012006851798774,8.87139666352525e-05,6.63289870879773e-05,4.90224273594598e-05,4.89206639550377e-05,0
583,0.339322,20.4572,9.95352e-05,9.95352e-05,9.95352e-05,9.95352e-05,9.93363794309051e-05,9.92477578429217e-05,9.91867600086146e-05,9.91452835424295e-05,9.88125035718085e-05,9.86102877762763e-05,7.92119174343508e-05,6.40568593492589e-05,6.07637764865258e-05,5.94700814067404e-05,5.79448003997759e-05,5.60682462705024e-05,5.16150156412802e-05,3.81363312566756e-05,2.85134834958635e-05,2.10737452026384e-05,2.10299991832906e-05,0
670,0.0724592,8.91939,6.81563e-05,6.81563e-05,6.81563e-05,6.81563e-05,6.80201584706375e-05,6.79594752195155e-05,6.79177072148862e-05,6.78893063830975e-05,6.76614367298328e-05,6.75229703337736e-05,5.42400196938455e-05,4.38626588670731e-05,4.16077345436448e-05,4.07218824032324e-05,3.96774527954658e-05,3.83924904283735e-05,3.53431599127925e-05,2.61136887656765e-05,1.95244851589098e-05,1.44301563683459e-05,1.44002014697927e-05,0
765,0.347076,25.1007,8.20253e-05,8.20253e-05,8.20253e-05,8.20253e-05,8.18614552814866e-05,8.17884237073217e-05,8.17381564083321e-05,8.17039763435734e-05,8.14297379141114e-05,8.12630952460576e-05,6.52772214365155e-05,5.27881905615377e-05,5.00744158392229e-05,4.90083032777581e-05,4.77513446120743e-05,4.62049076187303e-05,4.25350744508546e-05,3.14275152129919e-05,2.3497486696096e-05,1.73665223194405e-05,1.73304719537326e-05,0
886,0.33681,27.8821,0.000152973,0.000152973,0.000152973,0.000152973,0.000152667437958469,0.000152531237798339,0.000152437491850097,0.00015237374777301,0.000151862307092268,0.000151551527017581,0.000121738687878107,9.84472824210348e-05,9.33862310064511e-05,9.13979854667826e-05,8.90538216787118e-05,8.61697955772186e-05,7.93257439347443e-05,5.86107126054646e-05,4.38216139698592e-05,3.23876781769987e-05,3.23204460840538e-05,0
873,0.327684,21.5636,0.00022576,0.00022576,0.00022576,0.00022576,0.00022530904665205,0.000225108040277389,0.000224969688507632,0.000224875613979164,0.00022412082164271,0.000223662167437973,0.000179663902619164,0.000145290073930516,0.000137820893308077,0.000134886608741287,0.000131427054331065,0.000127170762484313,0.000117070201608832,8.64986270636628e-05,6.46726387652424e-05,4.77982534515191e-05,4.7699031253463e-05,0
934,0.635695,31.2529,9.01755e-05,9.01755e-05,9.01755e-05,9.01755e-05,8.99953753382882e-05,8.99150871989445e-05,8.98598252392805e-05,8.98222489740349e-05,8.95207616585853e-05,8.93375610373979e-05,7.17632984170555e-05,5.80333321302323e-05,5.50499112531115e-05,5.38778675874818e-05,5.24960149620435e-05,5.07959208557947e-05,4.67614456288857e-05,3.45502168000501e-05,2.58322445826325e-05,1.90920951635252e-05,1.90524627604387e-05,0
596,0.352573,30.7545,0.000175695,0.000175695,0.000175695,0.000175695,0.000175344050990131,0.000175187620200815,0.00017507994960289,0.000175006737234538,0.000174419329192576,0.000174062387083694,0.000139821267588032,0.000113070249553606,0.00010725744972432,0.000104973878113042,0.000102281521574665,9.89691137255556e-05,9.11084739177168e-05,6.73165143601622e-05,5.0330701930631e-05,3.7198414866073e-05,3.7121196385884e-05,0
644,0.70505,1.47877,0.000242677,0.000242677,0.000242677,0.000242677,0.000242192255113304,0.000241976186615858,0.00024182746765577,0.000241726343788189,0.000240914992176595,0.000240421969380515,0.000193126758043546,0.000156177176077409,0.000148148303177375,0.000144994142228514,0.000141275351098068,0.000136700120160373,0.000125842688323116,9.29802769309377e-05,6.95187896776786e-05,5.13799466373773e-05,5.1273289367012e-05,0
673,0.223335,15.4152,0.000212246,0.000212246,0.000212246,0.000212246,0.000211822040732242,0.000211633066604867,0.000211502996575969,0.000211414553351442,0.000210704942905646,0.000210273743754607,0.000168909216315145,0.000136593005986252,0.000129570930727613,0.000126812292518175,0.000123559827133023,0.000119558317036878,0.000110062376021741,8.13208167955093e-05,6.08013327753704e-05,4.49370486448934e-05,4.48437658904257e-05,0
773,0.157839,6.67864,0.00015243,0.00015243,0.00015243,0.00015243,0.000152125522595553,0.000151989805897778,0.000151896392714468,0.00015183287490629,0.000151323249658922,0.00015101357274349,0.000121306558629692,9.80978294172065e-05,9.30547429436132e-05,9.10735549718034e-05,8.87377121353836e-05,8.58639233056515e-05,7.9044165623823e-05,5.84026653229718e-05,4.3666062752418e-05,3.22727133841914e-05,3.22057199413774e-05,0
