"Population","shapeRisk","v_to_h","aImp","aImp_2000","aImp_2001","aImp_2002","aImp_2003","aImp_2004","aImp_2005","aImp_2006","aImp_2007","aImp_2008","aImp_2009","aImp_2010","aImp_2011","aImp_2012","aImp_2013","aImp_2014","aImp_2015","aImp_2016","aImp_2017","aImp_2018","aImp_2019","aImp_2020"
540,0.334726,35.2744,5.19204e-05,5.19204e-05,5.1901608939407e-05,5.17955175715426e-05,5.17955175715426e-05,5.16453811950047e-05,5.15251119850039e-05,5.14205185149933e-05,5.14067286326091e-05,5.02791675958581e-05,4.90431017159498e-05,3.79148216424279e-05,2.98107321752024e-05,2.34937194131906e-05,2.32482685864322e-05,2.32482685864322e-05,2.32482685864322e-05,2.24417659554659e-05,1.65490318244157e-05,1.23361244340554e-05,1.23361244340554e-05,0
333,0.949628,38.766,0.000211594,0.000211594,0.000211517419779603,0.00021108505991928,0.00021108505991928,0.000210473201065012,0.000209983061481709,0.000209556806085113,0.000209500607435387,0.000204905397267317,0.000199867991473191,0.000154516312867541,0.000121489280973948,9.57452189411996e-05,9.47449199789973e-05,9.47449199789973e-05,9.47449199789973e-05,9.14581364084417e-05,6.74431599112376e-05,5.02740717232441e-05,5.02740717232441e-05,0
338,0.185375,25.3704,0.000180129,0.000180129,0.000180063807610235,0.000179695741647684,0.000179695741647684,0.000179174869016321,0.000178757615441075,0.000178394746180446,0.000178346904528148,0.000174435023225444,0.000170146702818012,0.000131539027196033,0.000103423266692611,8.15074649690413e-05,8.06559150585404e-05,8.06559150585404e-05,8.06559150585404e-05,7.78578913065408e-05,5.74140521548404e-05,4.27980862663224e-05,4.27980862663224e-05,0
291,0.206788,23.6817,4.67947e-05,4.67947e-05,4.67777640356559e-05,4.66821462489709e-05,4.66821462489709e-05,4.6546831677065e-05,4.6438435717072e-05,4.63441679523571e-05,4.63317394385319e-05,4.53154937923803e-05,4.42014551480219e-05,3.41717841987142e-05,2.68677488794182e-05,2.11743659876355e-05,2.09531466248626e-05,2.09531466248626e-05,2.09531466248626e-05,2.02262637683115e-05,1.49152737558645e-05,1.11182741668842e-05,1.11182741668842e-05,0
334,0.417701,51.4496,3.02445e-05,3.02445e-05,3.02335538934194e-05,3.0171753900057e-05,3.0171753900057e-05,3.00842969536506e-05,3.00142381304931e-05,2.99533106876433e-05,2.99452778508822e-05,2.92884547182405e-05,2.85684257025763e-05,2.20860167326217e-05,1.73652492907009e-05,1.36854838713154e-05,1.35425046660339e-05,1.35425046660339e-05,1.35425046660339e-05,1.3072703416e-05,9.64008738402518e-06,7.18599847932198e-06,7.18599847932198e-06,0
372,0.104427,14.8134,0.000236289,0.000236289,0.000236203482151207,0.00023572066184895,0.00023572066184895,0.000235037393340315,0.000234490049880675,0.00023401404649019,0.000233951288932107,0.000228819774733202,0.000223194456540398,0.000172549812618309,0.000135668217019638,0.000106919582022161,0.000105802538809783,0.000105802538809783,0.000105802538809783,0.000102132156837218,7.53144078389104e-05,5.6141526382665e-05,5.6141526382665e-05,0
838,0.339798,23.8125,0.000215439,0.000215439,0.000215361028195024,0.00021492081166739,0.00021492081166739,0.000214297834363191,0.000213798788162981,0.000213364787026904,0.000213307567158201,0.000208628854702277,0.000203499911221457,0.000157324120380872,0.000123696934713396,9.74850620692132e-05,9.64665860816242e-05,9.64665860816242e-05,9.64665860816242e-05,9.31200764185103e-05,6.86687095480831e-05,5.11876316813519e-05,5.11876316813519e-05,0
504,0.307324,25.4881,0.00013645,0.00013645,0.000136400615938669,0.000136121801308098,0.000136121801308098,0.000135727233689617,0.00013541115881915,0.000135136280756135,0.000135100040098295,0.000132136740442193,0.000128888283394222,9.96424798944015e-05,7.83444350449219e-05,6.17429375337991e-05,6.10978776862018e-05,6.10978776862018e-05,6.10978776862018e-05,5.89783392389759e-05,4.34918720279798e-05,3.24200926615908e-05,3.24200926615908e-05,0
302,0.373056,31.8529,0.000189577,0.000189577,0.00018950838818472,0.000189121016684393,0.000189121016684393,0.00018857282360701,0.000188133684539817,0.000187751782315177,0.000187701431306079,0.00018358436674833,0.000179071118365895,0.000138438420014225,0.00010884795135589,8.57826373678639e-05,8.48864225585715e-05,8.48864225585715e-05,8.48864225585715e-05,8.19416388267302e-05,6.04254937592402e-05,4.50429014767783e-05,4.50429014767783e-05,0
488,0.149395,22.7064,8.5402e-06,8.5402e-06,8.53710912597599e-06,8.51965853815626e-06,8.51965853815626e-06,8.49496314515256e-06,8.47518049503337e-06,8.45797629104834e-06,8.45570804285422e-06,8.27023958024491e-06,8.06692354593868e-06,6.2364727504153e-06,4.90346019912526e-06,3.86439747252584e-06,3.82402414815464e-06,3.82402414815464e-06,3.82402414815464e-06,3.69136542886553e-06,2.72209076946393e-06,2.02912477353256e-06,2.02912477353256e-06,0
