"Population","shapeRisk","v_to_h","aImp","aImp_2000","aImp_2001","aImp_2002","aImp_2003","aImp_2004","aImp_2005","aImp_2006","aImp_2007","aImp_2008","aImp_2009","aImp_2010","aImp_2011","aImp_2012","aImp_2013","aImp_2014","aImp_2015","aImp_2016","aImp_2017","aImp_2018","aImp_2019","aImp_2020"
413,0.0250457,6.08432,8.97169e-05,8.96021770345954e-05,8.96021770345954e-05,8.96021770345954e-05,8.96021770345954e-05,8.96021770345954e-05,8.95319106126903e-05,8.91585771544772e-05,8.89150168073839e-05,8.8670765777562e-05,8.85586888571814e-05,8.85586888571814e-05,7.06427913470654e-05,5.59953220698876e-05,5.59953220698876e-05,5.37899221131309e-05,4.28314158750898e-05,4.28314158750898e-05,3.33815640072573e-05,2.55821478793246e-05,2.55755782340359e-05,0
340,0.0523913,21.4549,6.11608e-05,6.10825923452269e-05,6.10825923452269e-05,6.10825923452269e-05,6.10825923452269e-05,6.10825923452269e-05,6.10346911072566e-05,6.07801864044516e-05,6.06141491731552e-05,6.04476410973664e-05,6.03712372747643e-05,6.03712372747643e-05,4.8157812329891e-05,3.81725036648834e-05,3.81725036648834e-05,3.6669063112711e-05,2.9198553004542e-05,2.9198553004542e-05,2.27565058526884e-05,1.74395752641676e-05,1.74350966791789e-05,0
323,0.181956,20.9532,0.000176286,0.000176060579230008,0.000176060579230008,0.000176060579230008,0.000176060579230008,0.000176060579230008,0.000175922511748274,0.000175188943579796,0.000174710368424527,0.000174230436137041,0.000174010214618172,0.000174010214618172,0.000138807015349491,0.000110025996734308,0.000110025996734308,0.000105692575307834,8.41600521078646e-05,8.41600521078646e-05,6.55919051213691e-05,5.02667225578973e-05,5.02538137693707e-05,0
2164,0.354347,36.5876,3.37618e-05,3.37186280467404e-05,3.37186280467404e-05,3.37186280467404e-05,3.37186280467404e-05,3.37186280467404e-05,3.36921857501043e-05,3.35516948331254e-05,3.34600394624372e-05,3.33681241775952e-05,3.33259479703198e-05,3.33259479703198e-05,2.65839300388372e-05,2.10718701232335e-05,2.10718701232335e-05,2.02419454127272e-05,1.61180969972392e-05,1.61180969972392e-05,1.25619775950821e-05,9.62694163833325e-06,9.6244693833812e-06,0
1537,0.36371,14.1004,0.000153147,0.0001529511675762,0.0001529511675762,0.0001529511675762,0.0001529511675762,0.0001529511675762,0.000152831222596876,0.000152193941336322,0.000151778183140528,0.000151361245947378,0.000151169930329857,0.000151169930329857,0.000120587443017191,9.55841718676979e-05,9.55841718676979e-05,9.18195479542836e-05,7.31133470619513e-05,7.31133470619513e-05,5.69824234120822e-05,4.36687982005054e-05,4.36575837975665e-05,0
427,0.749997,16.2718,0.000199776,0.000199520542052426,0.000199520542052426,0.000199520542052426,0.000199520542052426,0.000199520542052426,0.000199364077164512,0.00019853276149324,0.000197990416495799,0.000197446533529115,0.000197196967629647,0.000197196967629647,0.000157302963924872,0.000124686892456537,0.000124686892456537,0.000119776045316689,9.53743267752445e-05,9.53743267752445e-05,7.43319857363979e-05,5.69647321155763e-05,5.69501032389968e-05,0
449,0.879693,23.1236,0.000221472,0.000221188798901945,0.000221188798901945,0.000221188798901945,0.000221188798901945,0.000221188798901945,0.000221015341671566,0.000220093743760165,0.000219492499209903,0.000218889549664425,0.000218612880500526,0.000218612880500526,0.000174386322813397,0.000138228092694488,0.000138228092694488,0.000132783919531764,0.000105732134488462,0.000105732134488462,8.24045608331908e-05,6.31511950940099e-05,6.31349774975328e-05,0
444,0.195176,11.6609,0.000145011,0.000144825571257631,0.000144825571257631,0.000144825571257631,0.000144825571257631,0.000144825571257631,0.000144711998406731,0.000144108572986225,0.000143714902122739,0.000143320114896637,0.000143138963003277,0.000143138963003277,0.000114181183433994,9.05062217784661e-05,9.05062217784661e-05,8.69415951236304e-05,6.92291691694948e-05,6.92291691694948e-05,5.39552077507849e-05,4.13488745835928e-05,4.13382559506156e-05,0
369,0.818472,6.95808,0.000196871,0.000196619256739565,0.000196619256739565,0.000196619256739565,0.000196619256739565,0.000196619256739565,0.000196465067052372,0.000195645839780232,0.00019511138117664,0.000194575406967856,0.000194329470077568,0.000194329470077568,0.000155015576499947,0.000122873784662877,0.000122873784662877,0.000118034347556973,9.39874613896022e-05,9.39874613896022e-05,7.32511030549735e-05,5.61363916402652e-05,5.61219754863675e-05,0
429,0.0618791,3.74144,0.000220069,0.00021978759294878,0.00021978759294878,0.00021978759294878,0.00021978759294878,0.00021978759294878,0.000219615234550282,0.000218699474857119,0.000218102039122887,0.000217502909194391,0.000217227992698266,0.000217227992698266,0.00017328160523778,0.000137352433405502,0.000137352433405502,0.00013194274846227,0.000105062333408924,0.000105062333408924,8.1882537286878e-05,6.2751139435882e-05,6.27350245760391e-05,0
