"Population","shapeRisk","v_to_h","aImp","aImp_2000","aImp_2001","aImp_2002","aImp_2003","aImp_2004","aImp_2005","aImp_2006","aImp_2007","aImp_2008","aImp_2009","aImp_2010","aImp_2011","aImp_2012","aImp_2013","aImp_2014","aImp_2015","aImp_2016","aImp_2017","aImp_2018","aImp_2019","aImp_2020"
2608,0.629058,8.07696,0.000113732,0.000113732,0.000113732,0.000113643280122088,0.000113643280122088,0.000113643280122088,0.000113643280122088,0.000113406542651708,0.00011318100961163,0.000112930419986327,0.000112318932659873,8.88328344512504e-05,7.09828906040374e-05,5.82896543811269e-05,4.70465578562922e-05,4.67260824794225e-05,4.616567890388e-05,4.616567890388e-05,4.52258474470697e-05,3.24063494653721e-05,3.19328669807611e-05,0
2934,0.165448,6.09563,4.12722e-05,4.12722e-05,4.12722e-05,4.12400044477792e-05,4.12400044477792e-05,4.12400044477792e-05,4.12400044477792e-05,4.11540947985601e-05,4.10722511245132e-05,4.09813146674611e-05,4.07594120610277e-05,3.22365430137419e-05,2.57589777510987e-05,2.11527298697706e-05,1.70727231136045e-05,1.69564258195338e-05,1.67530609930074e-05,1.67530609930074e-05,1.64120056009298e-05,1.17599385960392e-05,1.15881165600127e-05,0
1943,0.441758,0.711172,0.000217402,0.000217402,0.000217402,0.000217232409393153,0.000217232409393153,0.000217232409393153,0.000217232409393153,0.000216779878886916,0.000216348765972529,0.000215869756672418,0.000214700881002019,0.000169806526530534,0.000135685843765158,0.000111422356432365,8.99308529795803e-05,8.93182550486354e-05,8.82470274422442e-05,8.82470274422442e-05,8.64505124915401e-05,6.19456721632506e-05,6.10405967304841e-05,0
2033,0.161171,16.3144,2.68319e-05,2.68319e-05,2.68319e-05,2.68109690140668e-05,2.68109690140668e-05,2.68109690140668e-05,2.68109690140668e-05,2.67551173968309e-05,2.67019091530819e-05,2.66427895054262e-05,2.64985260897236e-05,2.0957634884751e-05,1.67464374353609e-05,1.37518216279408e-05,1.10993259218535e-05,1.10237186761827e-05,1.08915070497399e-05,1.08915070497399e-05,1.06697799749853e-05,7.64537621970876e-06,7.533671205475e-06,0
3779,0.980417,50.4076,5.23815e-05,5.23815e-05,5.23815e-05,5.23406383226808e-05,5.23406383226808e-05,5.23406383226808e-05,5.23406383226808e-05,5.22316042442801e-05,5.21277305856893e-05,5.20123166260489e-05,5.17306841620927e-05,4.09137016653903e-05,3.26925604418755e-05,2.68464419069831e-05,2.16682136104998e-05,2.15206123992884e-05,2.12625075572714e-05,2.12625075572714e-05,2.08296497735789e-05,1.49253789128863e-05,1.47073072816159e-05,0
3966,0.418206,35.653,5.18735e-05,5.18735e-05,5.18735e-05,5.18330346025139e-05,5.18330346025139e-05,5.18330346025139e-05,5.18330346025139e-05,5.17250579453751e-05,5.16221916618798e-05,5.15078969961026e-05,5.12289958264333e-05,4.05169172959848e-05,3.23755053612751e-05,2.65860829541324e-05,2.1458073532149e-05,2.13119037693553e-05,2.10563020488554e-05,2.10563020488554e-05,2.06276421547636e-05,1.47806313877535e-05,1.45646746327024e-05,0
339,0.688358,5.36378,0.000139541,0.000139541,0.000139541,0.000139432147078362,0.000139432147078362,0.000139432147078362,0.000139432147078362,0.000139141687195882,0.000138864974345097,0.000138557518862871,0.000137807267807577,0.000108991511203196,8.7090911421394e-05,7.15172217317626e-05,5.77227493566003e-05,5.73295490737971e-05,5.66419741139373e-05,5.66419741139373e-05,5.54888683801529e-05,3.97602645759107e-05,3.91793355551857e-05,0
323,0.265498,8.67817,7.90719e-05,7.90719e-05,7.90719e-05,7.90102177178428e-05,7.90102177178428e-05,7.90102177178428e-05,7.90102177178428e-05,7.88456265598215e-05,7.86888252550723e-05,7.85146034195904e-05,7.80894683236749e-05,6.17608149196869e-05,4.93506843065574e-05,4.05257422911672e-05,3.27090064199781e-05,3.24861966834721e-05,3.20965774427576e-05,3.20965774427576e-05,3.14431618783627e-05,2.2530436678252e-05,2.2201249117364e-05,0
1721,0.373382,29.5281,2.87278e-05,2.87278e-05,2.87278e-05,2.87053900634061e-05,2.87053900634061e-05,2.87053900634061e-05,2.87053900634061e-05,2.86455920584334e-05,2.8588624203575e-05,2.8525327254275e-05,2.83708704117249e-05,2.24384685185228e-05,1.79297144576255e-05,1.47235037907549e-05,1.1883586895368e-05,1.18026373602183e-05,1.16610838674681e-05,1.16610838674681e-05,1.14236899051272e-05,8.18558652069176e-06,8.06598860522902e-06,0
1928,0.118177,11.8739,7.35e-06,7.35e-06,7.35e-06,7.34426642367446e-06,7.34426642367446e-06,7.34426642367446e-06,7.34426642367446e-06,7.32896711998432e-06,7.31439190944926e-06,7.29819740178229e-06,7.25867965963902e-06,5.74087621088779e-06,4.58731268191604e-06,3.76700453435517e-06,3.0404125509421e-06,3.01970163387398e-06,2.98348521034993e-06,2.98348521034993e-06,2.92274802813599e-06,2.09428013725675e-06,2.06368104235038e-06,0
