"Population","shapeRisk","v_to_h","aImp","aImp_2000","aImp_2001","aImp_2002","aImp_2003","aImp_2004","aImp_2005","aImp_2006","aImp_2007","aImp_2008","aImp_2009","aImp_2010","aImp_2011","aImp_2012","aImp_2013","aImp_2014","aImp_2015","aImp_2016","aImp_2017","aImp_2018","aImp_2019","aImp_2020"
1800,0.106962,13.4002,0.00018385,0.00018385,0.00018385,0.000183663738328731,0.000183623277750497,0.000183460465548893,0.000183075445323617,0.000182896540558301,0.000182609476969576,0.000182189015485155,0.000181623291788947,0.000181623291788947,0.000145804368321233,0.000145804368321233,0.000119034545140234,9.7818221542779e-05,8.16746403782764e-05,6.36922682109703e-05,6.36922682109703e-05,6.36922682109703e-05,6.36922682109703e-05,0
1717,0.27697,30.9423,8.81256e-05,8.81256e-05,8.81256e-05,8.80363184033857e-05,8.8016924262873e-05,8.79388827999759e-05,8.77543294229587e-05,8.76685742432667e-05,8.75309748361713e-05,8.73294332501417e-05,8.7058262512244e-05,8.7058262512244e-05,6.98890260589047e-05,6.98890260589047e-05,5.70573332130007e-05,4.68876228685903e-05,3.91494516623325e-05,3.05298849684672e-05,3.05298849684672e-05,3.05298849684672e-05,3.05298849684672e-05,0
2114,0.0222778,12.6728,0.000238549,0.000238549,0.000238549,0.000238307321808978,0.000238254823410951,0.000238043571369176,0.000237544000035374,0.000237311867574882,0.000236939396908433,0.00023639383984209,0.000235659802191796,0.000235659802191796,0.000189184042744965,0.000189184042744965,0.000154449669342712,0.000126921071149352,0.000105974456282825,8.26419738344235e-05,8.26419738344235e-05,8.26419738344235e-05,8.26419738344235e-05,0
2072,0.0224998,6.10733,8.54658e-05,8.54658e-05,8.54658e-05,8.53792130935855e-05,8.53604043055123e-05,8.5284718283974e-05,8.51057350826173e-05,8.50225681590841e-05,8.48891217665836e-05,8.46936630930168e-05,8.44306768092239e-05,8.44306768092239e-05,6.77796409141627e-05,6.77796409141627e-05,5.53352332229871e-05,4.54724642846388e-05,3.79678459594327e-05,2.9608434356623e-05,2.9608434356623e-05,2.9608434356623e-05,2.9608434356623e-05,0
2725,0.734309,56.5751,5.08269e-05,5.08269e-05,5.08269e-05,5.0775406372916e-05,5.07642207010973e-05,5.07192098798317e-05,5.06127677558823e-05,5.05633080081735e-05,5.04839468315744e-05,5.03677066693631e-05,5.02113075302021e-05,5.02113075302021e-05,4.03088607464045e-05,4.03088607464045e-05,3.29081148892475e-05,2.70426813409447e-05,2.25796506882927e-05,1.76082705854347e-05,1.76082705854347e-05,1.76082705854347e-05,1.76082705854347e-05,0
2700,0.592008,56.5347,5.5778e-05,5.5778e-05,5.5778e-05,5.57214903263529e-05,5.5709215046871e-05,5.56598196757475e-05,5.55430089162944e-05,5.54887312442801e-05,5.54016394147893e-05,5.52740761802065e-05,5.51024420419032e-05,5.51024420419032e-05,4.42353878499958e-05,4.42353878499958e-05,3.61137278152404e-05,2.96769364221546e-05,2.47791574164781e-05,1.93235101238591e-05,1.93235101238591e-05,1.93235101238591e-05,1.93235101238591e-05,0
2193,0.131062,16.7189,0.000145853,0.000145853,0.000145853,0.000145705233758284,0.000145673135326316,0.000145543972160472,0.000145238525574031,0.000145096595757682,0.000144868860725829,0.000144535297664162,0.000144086494301296,0.000144086494301296,0.000115670408119428,0.000115670408119428,9.44332092049959e-05,7.76017463512589e-05,6.4794622372003e-05,5.05287375326334e-05,5.05287375326334e-05,5.05287375326334e-05,5.05287375326334e-05,0
2147,0.695329,41.0552,9.32672e-05,9.32672e-05,9.32672e-05,9.31727093579193e-05,9.3152183685674e-05,9.30695889716712e-05,9.28742680124387e-05,9.27835095325491e-05,9.2637882025656e-05,9.24245816973458e-05,9.21375897739359e-05,9.21375897739359e-05,7.39666313902099e-05,7.39666313902099e-05,6.03862862578363e-05,4.96232343338302e-05,4.14335872672765e-05,3.23111205748502e-05,3.23111205748502e-05,3.23111205748502e-05,3.23111205748502e-05,0
2062,0.238023,18.9221,0.000174144,0.000174144,0.000174144,0.000173967571648184,0.000173929247106786,0.000173775030255896,0.000173410336417928,0.00017324087657865,0.000172968967948816,0.000172570703903436,0.000172034846479709,0.000172034846479709,0.000138106912792672,0.000138106912792672,0.000112750349898835,9.26541004750922e-05,7.73627880012759e-05,6.0329759887578e-05,6.0329759887578e-05,6.0329759887578e-05,6.0329759887578e-05,0
2077,0.0738082,11.0013,6.26889e-05,6.26889e-05,6.26889e-05,6.2625388771912e-05,6.26115925840258e-05,6.25560771212838e-05,6.2424793496588e-05,6.23637908153672e-05,6.22659082991464e-05,6.21225399665342e-05,6.1929640340648e-05,6.1929640340648e-05,4.97161570043673e-05,4.97161570043673e-05,4.0588222446786e-05,3.33539119307757e-05,2.7849297597007e-05,2.17176950375344e-05,2.17176950375344e-05,2.17176950375344e-05,2.17176950375344e-05,0
2100,0.957693,21.9588,0.00012427,0.00012427,0.00012427,0.000124144099875504,0.000124116751297548,0.000124006701407457,0.000123746454122197,0.000123625526761926,0.000123431491449601,0.000123147288302095,0.000122764897854841,0.000122764897854841,9.85537604094621e-05,9.85537604094621e-05,8.04591945856777e-05,6.61184138761009e-05,5.52064593952049e-05,4.30516082163573e-05,4.30516082163573e-05,4.30516082163573e-05,4.30516082163573e-05,0
