"Population","shapeRisk","v_to_h","aImp","aImp_2000","aImp_2001","aImp_2002","aImp_2003","aImp_2004","aImp_2005","aImp_2006","aImp_2007","aImp_2008","aImp_2009","aImp_2010","aImp_2011","aImp_2012","aImp_2013","aImp_2014","aImp_2015","aImp_2016","aImp_2017","aImp_2018","aImp_2019","aImp_2020"
917,0.305292,26.4416,0.000102059,0.000102059,0.000102059,0.000102014177783912,0.000102014177783912,0.000102014177783912,0.000101745919129773,0.000101473250682822,0.000100934590828045,0.000100877378092502,0.000100571410345601,0.000100183193336135,9.98847931437367e-05,9.3277948315105e-05,9.13111880775093e-05,8.72851103148074e-05,6.98520336225682e-05,5.57768227304392e-05,4.52236279289325e-05,3.6928072361625e-05,2.93433650116554e-05,0
978,0.0667662,8.10803,0.000124681,0.000124681,0.000124681,0.000124626242666261,0.000124626242666261,0.000124626242666261,0.000124298522844818,0.000123965415773082,0.000123307358675192,0.000123237464387768,0.000122863677023093,0.000122389409345013,0.000122024866929465,0.000113953574636981,0.000111550869993748,0.000106632387532315,8.53351630340825e-05,6.81400957765007e-05,5.52477209634352e-05,4.51134048944215e-05,3.58475008869204e-05,0
1048,0.7557,28.288,0.000213922,0.000213922,0.000213922,0.000213828049852439,0.000213828049852439,0.000213828049852439,0.000213265763059401,0.00021269423306686,0.000211565168570307,0.000211445247124744,0.00021080391973223,0.000209990192779203,0.000209364727450734,0.000195516370525518,0.000191393918967626,0.000182955010031102,0.000146414199008486,0.000116911683165042,9.47915317004194e-05,7.74035322288435e-05,6.15055147515001e-05,0
851,0.180394,15.7129,6.35643e-05,6.35643e-05,6.35643e-05,6.35363838653126e-05,6.35363838653126e-05,6.35363838653126e-05,6.33693072373886e-05,6.31994841060377e-05,6.28639964311925e-05,6.28283632436653e-05,6.26378006705032e-05,6.2396011681244e-05,6.22101623259724e-05,5.80952928216603e-05,5.68703568750941e-05,5.43628385304923e-05,4.35051844599204e-05,3.47388735249655e-05,2.81661416706321e-05,2.29995107733374e-05,1.82756097611222e-05,0
905,0.543485,10.0666,0.000243209,0.000243209,0.000243209,0.000243102187603715,0.000243102187603715,0.000243102187603715,0.000242462920914697,0.000241813145585578,0.000240529506468787,0.000240393167172903,0.000239664038827965,0.000238738908553759,0.00023802781386938,0.00022228354708324,0.000217596711129278,0.000208002473025936,0.000166459040802979,0.00013291748184332,0.000107768970154203,8.80004659167584e-05,6.99259297182972e-05,0
940,0.97622,1.68407,5.67757e-05,5.67757e-05,5.67757e-05,5.67507652789668e-05,5.67507652789668e-05,5.67507652789668e-05,5.6601532258167e-05,5.6449846057601e-05,5.61501881115415e-05,5.61183605107484e-05,5.5948149818818e-05,5.57321836378409e-05,5.55661827971159e-05,5.18907770030463e-05,5.07966629198037e-05,4.85569448818861e-05,3.88588767805372e-05,3.10287985801997e-05,2.51580275350993e-05,2.05431873522366e-05,1.63237939710583e-05,0
1839,0.0881726,11.856,0.000159341,0.000159341,0.000159341,0.000159271020706321,0.000159271020706321,0.000159271020706321,0.000158852198238834,0.000158426490922423,0.000157585500907627,0.00015749617674715,0.000157018480446393,0.000156412371367279,0.000155946490013778,0.000145631463785429,0.000142560832650314,0.000136275064057768,0.0001090574362815,8.70823220949736e-05,7.06060033688752e-05,5.76544545622991e-05,4.58127271903721e-05,0
1880,0.0762978,6.74096,0.000124764,0.000124764,0.000124764,0.000124709206214367,0.000124709206214367,0.000124709206214367,0.00012438126823021,0.000124047939409475,0.000123389444243723,0.000123319503427752,0.000122945467233253,0.000122470883835718,0.000122106098744698,0.000114029433402108,0.000111625129281125,0.000106703372591507,8.53919705551309e-05,6.81854565608179e-05,5.52844993084915e-05,4.51434368367883e-05,3.58713645275201e-05,0
993,0.144922,11.6053,0.000136017,0.000136017,0.000136017,0.00013595726412795,0.00013595726412795,0.00013595726412795,0.000135599748011193,0.000135236354835197,0.000134518467167601,0.000134442218089614,0.000134034445967309,0.0001335170578587,0.000133119371236556,0.000124314236823559,0.000121693078207102,0.000116327407182994,9.30938384389506e-05,7.43353951863741e-05,6.02708452954626e-05,4.92151169265929e-05,3.9106756668107e-05,0
992,0.764089,14.1848,9.21659e-05,9.21659e-05,9.21659e-05,9.21254226301873e-05,9.21254226301873e-05,9.21254226301873e-05,9.18831676571667e-05,9.16369303550682e-05,9.11504855505e-05,9.10988187375513e-05,9.08225100066788e-05,9.047192485424e-05,9.02024501161712e-05,8.42360404924126e-05,8.24599283672476e-05,7.8824118879898e-05,6.30809193275876e-05,5.03700904975689e-05,4.08398707545165e-05,3.3348445746816e-05,2.64989628090392e-05,0
