"Population","shapeRisk","v_to_h","aImp","aImp_2000","aImp_2001","aImp_2002","aImp_2003","aImp_2004","aImp_2005","aImp_2006","aImp_2007","aImp_2008","aImp_2009","aImp_2010","aImp_2011","aImp_2012","aImp_2013","aImp_2014","aImp_2015","aImp_2016","aImp_2017","aImp_2018","aImp_2019","aImp_2020"
331,0.268817,17.822,5.516e-06,5.51419827337527e-06,5.51419827337527e-06,5.5102458358203e-06,5.5006784097337e-06,5.5006784097337e-06,5.50034823482278e-06,5.46785801243121e-06,5.44907990958317e-06,5.44708601729444e-06,5.43981352894887e-06,5.43406807032437e-06,5.40640430472626e-06,5.39389879772084e-06,5.38079296725866e-06,5.36272909540951e-06,5.24872791777895e-06,5.12656015455259e-06,4.99139202870627e-06,4.86219324673778e-06,4.7430255855443e-06,0
369,0.417258,8.30952,3.64479e-05,3.64359947875552e-05,3.64359947875552e-05,3.6409878390028e-05,3.63466600090887e-05,3.63466600090887e-05,3.63444783226971e-05,3.61297937003792e-05,3.60057142198144e-05,3.59925392403455e-05,3.59444850474575e-05,3.59065209609093e-05,3.57237279655968e-05,3.56410957196246e-05,3.5554496735197e-05,3.54351366563771e-05,3.46818546545351e-05,3.38746105614788e-05,3.29814643805444e-05,3.21277616457168e-05,3.13403412326614e-05,0
341,0.150253,5.66753,1.76659e-05,1.76601296732451e-05,1.76601296732451e-05,1.76474713399235e-05,1.76168300794987e-05,1.76168300794987e-05,1.7615772639876e-05,1.75117173426049e-05,1.74515773703236e-05,1.74451916013274e-05,1.74219002576247e-05,1.74034994785249e-05,1.73149017053777e-05,1.72748507561016e-05,1.72328771719171e-05,1.71750246422398e-05,1.68099170635771e-05,1.64186546472644e-05,1.59857564249315e-05,1.55719760111575e-05,1.51903219165459e-05,0
347,0.253437,19.3499,9.697e-07,9.69383260640318e-07,9.69383260640318e-07,9.68688431289873e-07,9.67006499985274e-07,9.67006499985274e-07,9.66948456002112e-07,9.61236750299954e-07,9.57935603394271e-07,9.57585081756783e-07,9.56306595181603e-07,9.55296556887879e-07,9.50433331090111e-07,9.48234891977865e-07,9.45930917394982e-07,9.42755330641516e-07,9.22714188156318e-07,9.0123737887412e-07,8.77475136010963e-07,8.54762289949533e-07,8.33812891642914e-07,0
567,0.669688,13.1586,0.000169345,0.000169289685751402,0.000169289685751402,0.000169168343195611,0.000168874616623704,0.000168874616623704,0.00016886448002648,0.000167867007816382,0.000167290507122618,0.000167229293255752,0.000167006022853489,0.000166829633315642,0.000165980336654073,0.000165596408973901,0.000165194050950039,0.000164639477639979,0.000161139562950739,0.000157388928457706,0.000153239173876226,0.000149272682264106,0.000145614152970268,0
397,0.0583225,5.55942,2.42759e-05,2.42679706063507e-05,2.42679706063507e-05,2.4250575940136e-05,2.42084697256806e-05,2.42084697256806e-05,2.42070166268554e-05,2.40640272523529e-05,2.39813848761874e-05,2.39726097620083e-05,2.39406035618945e-05,2.39153178151536e-05,2.37935696629993e-05,2.37385329629426e-05,2.3680854241094e-05,2.36013551934829e-05,2.30996363414086e-05,2.25619763698156e-05,2.19671018400418e-05,2.13984983753592e-05,2.08740418441107e-05,0
532,0.119386,1.67521,0.000183073,0.0001830132016863,0.0001830132016863,0.000182882022462134,0.000182564484863158,0.000182564484863158,0.000182553526539832,0.000181475193964797,0.000180851959080333,0.000180785782894152,0.000180544413014006,0.000180353724408719,0.000179435579274683,0.000179020528389258,0.000178585553099156,0.000177986023147916,0.000174202386891143,0.000170147706159247,0.000165661550556806,0.000161373514187822,0.000157418405188969,0
355,0.149851,21.6782,1.554e-06,1.55349240696613e-06,1.55349240696613e-06,1.55237890298491e-06,1.54968351137168e-06,1.54968351137168e-06,1.5495904925516e-06,1.54043715578646e-06,1.53514687808054e-06,1.53458514700427e-06,1.53253629876478e-06,1.53091765432996e-06,1.52312405539242e-06,1.51960093032237e-06,1.51590867859317e-06,1.51081961824989e-06,1.47870253521184e-06,1.44428471359223e-06,1.40620435326496e-06,1.3698057116444e-06,1.33623309643507e-06,0
364,0.158659,2.08731,7.66826e-05,7.66575526682245e-05,7.66575526682245e-05,7.6602606477497e-05,7.64696015631337e-05,7.64696015631337e-05,7.64650115213237e-05,7.60133373502642e-05,7.57522869968459e-05,7.57245682069946e-05,7.56234671709526e-05,7.5543594671765e-05,7.51590171750547e-05,7.49851675029203e-05,7.4802972224639e-05,7.4551851002837e-05,7.29670238266636e-05,7.12686660093354e-05,6.93895791117606e-05,6.75934771323956e-05,6.59368262810115e-05,0
355,0.427048,2.42851,7.4985e-06,7.49605071662517e-06,7.49605071662517e-06,7.49067773747253e-06,7.4776716924199e-06,7.4776716924199e-06,7.47722284967705e-06,7.43305534920512e-06,7.40752822734035e-06,7.40481771223393e-06,7.39493142618258e-06,7.38712099806514e-06,7.34951462635784e-06,7.33251452768487e-06,7.31469834390664e-06,7.29014215408415e-06,7.13516792811194e-06,6.96909197224666e-06,6.78534320653625e-06,6.60970922056984e-06,6.44771163038505e-06,0
902,0.482126,23.4395,1.81089e-05,1.81029849733005e-05,1.81029849733005e-05,1.80900092125247e-05,1.80585995746966e-05,1.80585995746966e-05,1.80575156181259e-05,1.79508509719571e-05,1.7889202896057e-05,1.78826569939418e-05,1.78587815834631e-05,1.78399193761235e-05,1.77490998756086e-05,1.77080445863029e-05,1.76650184490193e-05,1.76057151769146e-05,1.72314519561761e-05,1.68303780244339e-05,1.63866242038867e-05,1.59624676007704e-05,1.55712429343842e-05,0
331,0.30572,38.6043,4.46009e-05,4.45863317206278e-05,4.45863317206278e-05,4.45543733681721e-05,4.44770137209376e-05,4.44770137209376e-05,4.44743440149578e-05,4.42116367706025e-05,4.40598020557157e-05,4.40436799762051e-05,4.39848765814532e-05,4.39384203404152e-05,4.37147385342033e-05,4.36136223508462e-05,4.35076521126553e-05,4.3361592478508e-05,4.2439809461216e-05,4.14519936180538e-05,4.03590603214513e-05,3.93143935421369e-05,3.83508357212297e-05,0
306,0.269055,22.7198,5.88135e-05,5.87942893675047e-05,5.87942893675047e-05,5.87521471111343e-05,5.86501359047993e-05,5.86501359047993e-05,5.86466154656906e-05,5.83001934760919e-05,5.80999748481272e-05,5.80787152788518e-05,5.80011734925371e-05,5.79399134253122e-05,5.76449527875304e-05,5.75116147461484e-05,5.73718758484168e-05,5.71792725984168e-05,5.59637526091901e-05,5.46611576594958e-05,5.32199483466853e-05,5.18423862431132e-05,5.05717794190373e-05,0
342,0.779802,3.68197,2.47265e-05,2.47184234239691e-05,2.47184234239691e-05,2.47007058845922e-05,2.46578181106382e-05,2.46578181106382e-05,2.46563380399466e-05,2.4510694551193e-05,2.44265181987506e-05,2.44175802042478e-05,2.43849799172506e-05,2.43592248261196e-05,2.42352168311845e-05,2.41791585608855e-05,2.41204092285934e-05,2.40394345499716e-05,2.35284029838581e-05,2.29807631728688e-05,2.23748468088843e-05,2.17956891434847e-05,2.12614978500655e-05,0
626,0.226805,17.318,6.91833e-05,6.91607022129084e-05,6.91607022129084e-05,6.9111129574566e-05,6.89911320928444e-05,6.89911320928444e-05,6.89869909416633e-05,6.85794889832183e-05,6.83439684751024e-05,6.8318960489537e-05,6.82277467942945e-05,6.81556855565032e-05,6.7808718443649e-05,6.76518706838942e-05,6.74874934901642e-05,6.72609310780356e-05,6.58310946617253e-05,6.42988305185747e-05,6.26035119904993e-05,6.09830627351403e-05,5.94884267571405e-05,0
422,0.749482,24.5624,2.6314e-05,2.63054048886143e-05,2.63054048886143e-05,2.62865498411485e-05,2.62409085702924e-05,2.62409085702924e-05,2.62393334755487e-05,2.60843393290636e-05,2.59947586549622e-05,2.59852468199938e-05,2.59505535171792e-05,2.59231448880557e-05,2.57911752854544e-05,2.57315179411215e-05,2.5668996762227e-05,2.55828233170061e-05,2.50389823111739e-05,2.4456182724238e-05,2.38113650912576e-05,2.31950241288357e-05,2.26265364862242e-05,0
350,0.191065,12.2714,3.38841e-05,3.38730322180701e-05,3.38730322180701e-05,3.38487528871498e-05,3.37899813820264e-05,3.37899813820264e-05,3.37879531587307e-05,3.35883697750218e-05,3.34730182313827e-05,3.34607699997474e-05,3.34160960109239e-05,3.33808023752136e-05,3.32108673135923e-05,3.31340475438457e-05,3.30535400619813e-05,3.29425759502838e-05,3.22422809352454e-05,3.14918196034944e-05,3.06614986656791e-05,2.98678466627606e-05,2.91358145836007e-05,0
334,0.489189,16.2917,6.08345e-05,6.08146292352516e-05,6.08146292352516e-05,6.07710388504731e-05,6.0665522247452e-05,6.0665522247452e-05,6.0661880835991e-05,6.03035547964551e-05,6.0096456084035e-05,6.0074465975181e-05,5.99942596314068e-05,5.99308944931378e-05,5.96257981645884e-05,5.94878782469088e-05,5.93433375211561e-05,5.91441158728589e-05,5.78868271417918e-05,5.65394713056797e-05,5.50487379206547e-05,5.36238388449364e-05,5.23095703378888e-05,0
385,0.146261,9.25033,4.61794e-05,4.6164316125001e-05,4.6164316125001e-05,4.61312267133212e-05,4.60511291795607e-05,4.60511291795607e-05,4.60483649882478e-05,4.57763600977639e-05,4.56191516998921e-05,4.56024590331847e-05,4.55415744885318e-05,4.549347408389e-05,4.52618758066852e-05,4.51571809534935e-05,4.50474602523975e-05,4.48962313249735e-05,4.39418248742352e-05,4.29190485861396e-05,4.17874345631687e-05,4.07057952897757e-05,3.97081355556716e-05,0
