"Population","shapeRisk","v_to_h","aImp","aImp_2000","aImp_2001","aImp_2002","aImp_2003","aImp_2004","aImp_2005","aImp_2006","aImp_2007","aImp_2008","aImp_2009","aImp_2010","aImp_2011","aImp_2012","aImp_2013","aImp_2014","aImp_2015","aImp_2016","aImp_2017","aImp_2018","aImp_2019","aImp_2020"
2942,0.276302,13.8555,1.15636e-05,1.15636e-05,1.15636e-05,1.15586239765181e-05,1.15371599041273e-05,1.15161352444609e-05,1.14886895919163e-05,1.14624115818926e-05,1.14129557074913e-05,1.13737410770634e-05,1.13024923794399e-05,1.10411429620892e-05,1.07894510466488e-05,1.04929836581994e-05,1.02100302044585e-05,9.79749811819931e-06,9.36908421473374e-06,7.11066921337174e-06,5.44831855973852e-06,4.18581616568645e-06,3.288077954295e-06,0
3031,0.5333,0.469301,0.000113416,0.000113416,0.000113416,0.000113367195070807,0.000113156675056773,0.000112950464810766,0.000112681277349336,0.000112423542147076,0.000111938478027676,0.000111553860216215,0.000110855051688623,0.000108291731829907,0.000105823132926314,0.00010291537536566,0.000100140162723448,9.60940404868461e-05,9.1892149097015e-05,6.97415735154942e-05,5.34372079431409e-05,4.10545614036714e-05,3.22495286298663e-05,0
2917,0.91932,61.1674,1.5358e-06,1.5358e-06,1.5358e-06,1.53513911784708e-06,1.53228840333103e-06,1.52949604867369e-06,1.52585090069399e-06,1.52236083118325e-06,1.51579243276878e-06,1.51058420787246e-06,1.50112143245562e-06,1.46641075107896e-06,1.43298271450441e-06,1.39360789911988e-06,1.35602791414502e-06,1.30123816198507e-06,1.24433909310146e-06,9.44391519759963e-07,7.23609225850636e-07,5.55932103087382e-07,4.3670051906035e-07,0
2860,0.0120477,0.449342,0.000204317,0.000204317,0.000204317,0.00020422907874799,0.00020384983051399,0.00020347834625398,0.000202993409608735,0.000202529104014109,0.000201655269231684,0.00020096238676903,0.000199703495061229,0.000195085717820159,0.000190638578772886,0.000185400302854849,0.000180400804358881,0.000173111783788451,0.000165542147730962,0.00012563826158536,9.62662235956013e-05,7.39590959151613e-05,5.80969787425794e-05,0
2386,0.375268,30.0762,9.1994e-06,9.1994e-06,9.1994e-06,9.19544133397739e-06,9.17836563198558e-06,9.1616395039515e-06,9.13980516723814e-06,9.1188997463128e-06,9.07955521943818e-06,9.04835809474013e-06,8.99167632877475e-06,8.78376029657233e-06,8.58352727165769e-06,8.34767320429967e-06,8.1225701220118e-06,7.79438100492604e-06,7.45355713834979e-06,5.65687937679373e-06,4.33439947407888e-06,3.33001809424539e-06,2.61582416658665e-06,0
2271,0.688576,27.8832,1.33904e-05,1.33904e-05,1.33904e-05,1.33846378718711e-05,1.3359782937859e-05,1.33354368343275e-05,1.33036553591958e-05,1.32732259889805e-05,1.3215957150506e-05,1.31705474522043e-05,1.30880429933284e-05,1.27854059911757e-05,1.24939521684463e-05,1.21506493113523e-05,1.18229952998877e-05,1.13452920199537e-05,1.08491979374045e-05,8.2340019574123e-06,6.30903566729416e-06,4.84708505871942e-06,3.80752352547578e-06,0
2197,0.652712,11.1981,3.89e-06,3.89e-06,3.89e-06,3.88832606356632e-06,3.88110554040741e-06,3.87403283587749e-06,3.86480010658916e-06,3.8559601727457e-06,3.83932319538388e-06,3.82613137688753e-06,3.80216328444613e-06,3.71424522834819e-06,3.62957596003527e-06,3.52984420339649e-06,3.43465854019022e-06,3.29588256942434e-06,3.15176394853802e-06,2.392032173373e-06,1.83281670045512e-06,1.40811035356812e-06,1.10611083418724e-06,0
2438,0.134802,7.13283,4.67229e-05,4.67229e-05,4.67229e-05,4.67027943021602e-05,4.66160683943191e-05,4.65311179402108e-05,4.64202233676491e-05,4.63140466722828e-05,4.61142194667357e-05,4.59557721617425e-05,4.56678907256679e-05,4.46119044677609e-05,4.35949394918076e-05,4.23970585426411e-05,4.12537808502452e-05,3.958693874112e-05,3.78559259103206e-05,2.87307660753958e-05,2.20140132168881e-05,1.69128532747373e-05,1.32855285076213e-05,0
2807,0.909718,27.117,1.92429e-05,1.92429e-05,1.92429e-05,1.92346194366582e-05,1.91989012348344e-05,1.91639142564285e-05,1.91182421519498e-05,1.90745131126294e-05,1.89922139630983e-05,1.89269571908249e-05,1.88083927676783e-05,1.83734831631315e-05,1.79546445350547e-05,1.74612953782875e-05,1.69904346588757e-05,1.63039431092997e-05,1.55910227468695e-05,1.18328112876605e-05,9.06650603732336e-06,6.96558527575217e-06,5.47166585377419e-06,0
2746,0.878995,17.6113,2.80127e-05,2.80127e-05,2.80127e-05,2.80006456351836e-05,2.7948649144414e-05,2.78977171263715e-05,2.783123032027e-05,2.77675721159572e-05,2.76477657777198e-05,2.7552768745845e-05,2.73801695213893e-05,2.67470532925834e-05,2.61373322611002e-05,2.54191431147776e-05,2.47336913338783e-05,2.37343366715973e-05,2.2696508473319e-05,1.72255217642792e-05,1.31984947004728e-05,1.01400958615418e-05,7.9653344382614e-06,0
