"Population","shapeRisk","v_to_h","aImp","aImp_2000","aImp_2001","aImp_2002","aImp_2003","aImp_2004","aImp_2005","aImp_2006","aImp_2007","aImp_2008","aImp_2009","aImp_2010","aImp_2011","aImp_2012","aImp_2013","aImp_2014","aImp_2015","aImp_2016","aImp_2017","aImp_2018","aImp_2019","aImp_2020"
503,0.299553,9.891,0.000194269,0.000194257053658027,0.000194136391652306,0.000193922764544925,0.000193922764544925,0.000193603883929893,0.000192580343235205,0.00019143301472778,0.000190866977331774,0.000182341367536384,0.000146430531033986,0.000119674539120854,9.41103883153267e-05,7.38540645893572e-05,5.78768962089319e-05,5.78768962089319e-05,5.60650568863005e-05,3.94236465703695e-05,2.82116849573957e-05,2.81928550992936e-05,2.78277205189689e-05,0
1297,0.192946,11.6225,0.000173687,0.00017367631932373,0.000173568440960288,0.000173377446764612,0.000173377446764612,0.000173092350236689,0.000172177249460763,0.000171151475680752,0.000170645407614307,0.000163023051044129,0.00013091681968662,0.000106995514859724,8.41397804864603e-05,6.6029530786341e-05,5.17450775565878e-05,5.17450775565878e-05,5.0125195143903e-05,3.52468736744811e-05,2.52227731917866e-05,2.52059382795557e-05,2.4879488203358e-05,0
656,0.576808,3.05551,0.000174276,0.000174265283103873,0.000174157038907892,0.000173965397020787,0.000173965397020787,0.000173679333685591,0.000172761129658662,0.000171731877318042,0.000171224093094998,0.000163575887911972,0.000131360779262152,0.000107358353519223,8.44251117473291e-05,6.62534473352661e-05,5.19205532725644e-05,5.19205532725644e-05,5.02951775832321e-05,3.53664013800334e-05,2.53083075922308e-05,2.52914155901584e-05,2.49638584702852e-05,0
611,0.91764,37.6985,0.0001704,0.0001703895214539,0.000170283684672042,0.000170096305012406,0.000170096305012406,0.000169816603892817,0.000168918821259588,0.000167912460092005,0.000167415969286578,0.00015993786465262,0.000128439238829619,0.000104970641050263,8.25474479661278e-05,6.47799319810493e-05,5.0765809851299e-05,5.0765809851299e-05,4.91765834663565e-05,3.45798319628503e-05,2.47454360538234e-05,2.47289197397404e-05,2.44086476814742e-05,0
329,0.901756,90.5936,6.21762e-05,6.21723765482512e-05,6.21337584208089e-05,6.20653866180304e-05,6.20653866180304e-05,6.19633282098626e-05,6.16357418685469e-05,6.1268536978712e-05,6.10873755255642e-05,5.83587362688628e-05,4.68653978950596e-05,3.83020866905478e-05,3.0120226726711e-05,2.36371479274655e-05,1.85236217516217e-05,1.85236217516217e-05,1.79437387847469e-05,1.26176205873742e-05,9.02920880968155e-06,9.02318227419042e-06,8.90632018763424e-06,0
324,0.745319,46.9386,9.05522e-05,9.05466315997529e-05,9.04903889152564e-05,9.03908135607067e-05,9.03908135607067e-05,9.0242177693798e-05,8.9765087361869e-05,8.92302973517797e-05,8.89664573593432e-05,8.49925205844892e-05,6.82538476663582e-05,5.57824089349272e-05,4.38665083199436e-05,3.44246793235585e-05,2.6977439946108e-05,2.6977439946108e-05,2.61329097497782e-05,1.83760555156479e-05,1.31499628793018e-05,1.31411859510383e-05,1.2970990296845e-05,0
527,0.974733,45.9426,0.000170528,0.000170517513582692,0.000170411597299026,0.000170224076884716,0.000170224076884716,0.000169944165661,0.00016904570863706,0.000168038591517426,0.00016754172776116,0.000160058005771608,0.000128535719009022,0.000105049492236028,8.26094554387784e-05,6.48285929628191e-05,5.08039437929713e-05,5.08039437929713e-05,4.9213523622951e-05,3.46058074234796e-05,2.47640241748028e-05,2.47474954540989e-05,2.44269828158828e-05,0
411,0.0421416,8.13881,0.000140609,0.000140600353416147,0.000140513020058986,0.000140358399950055,0.000140358399950055,0.000140127598924678,0.000139386775460619,0.000138556356226976,0.000138146666815824,0.000131975957810682,0.000105984230825082,8.66186435882416e-05,6.81156931400778e-05,5.34544686380479e-05,4.18904328484818e-05,4.18904328484818e-05,4.05790506139725e-05,2.85342464346503e-05,2.04191961155637e-05,2.04055673455702e-05,2.01412883911056e-05,0
666,0.0490927,17.2369,4.48994e-05,4.48966389645966e-05,4.48687515936848e-05,4.48193781530166e-05,4.48193781530166e-05,4.47456785494434e-05,4.45091180942649e-05,4.42439478324822e-05,4.41131254189307e-05,4.21426887334732e-05,3.3842985680203e-05,2.76591478918554e-05,2.17507681056946e-05,1.70691319130864e-05,1.3376492974398e-05,1.3376492974398e-05,1.29577411484115e-05,9.11158278892488e-06,6.52027718048732e-06,6.51592522865317e-06,6.43153542083088e-06,0
443,0.49018,25.8193,0.000113777,0.000113770003418195,0.000113699335627529,0.000113574221217116,0.000113574221217116,0.000113387463269443,0.000112788008958053,0.000112116056173052,0.000111784546581684,0.000106791375742847,8.57595732178261e-05,7.0089463772158e-05,5.51173766856932e-05,4.32539103345531e-05,3.38966053254181e-05,3.38966053254181e-05,3.28354702878618e-05,2.30891405002184e-05,1.65226612552574e-05,1.65116332231716e-05,1.62977858406989e-05,0
421,0.392795,40.1134,2.11366e-05,2.1135300229827e-05,2.11221721211214e-05,2.10989293458053e-05,2.10989293458053e-05,2.10642349169068e-05,2.09528729896444e-05,2.08280428637364e-05,2.07664576081144e-05,1.98388654343695e-05,1.59317418746838e-05,1.30206716644541e-05,1.02392745814604e-05,8.03537271309065e-06,6.29704587149628e-06,6.29704587149628e-06,6.09991651464197e-06,4.2893196963966e-06,3.06945060854017e-06,3.06740190710679e-06,3.02767501516577e-06,0
