"Population","shapeRisk","v_to_h","aImp","aImp_2000","aImp_2001","aImp_2002","aImp_2003","aImp_2004","aImp_2005","aImp_2006","aImp_2007","aImp_2008","aImp_2009","aImp_2010","aImp_2011","aImp_2012","aImp_2013","aImp_2014","aImp_2015","aImp_2016","aImp_2017","aImp_2018","aImp_2019","aImp_2020"
461,0.73027,17.3957,3.05099e-05,3.04733602910087e-05,3.04688012598274e-05,3.04638002367806e-05,3.04638002367806e-05,3.04638002367806e-05,3.04617403696241e-05,3.03337544462822e-05,3.01746291946427e-05,3.00742802121392e-05,2.99408697115307e-05,2.92752921037117e-05,2.91835165803421e-05,2.90622271181557e-05,2.89470457068366e-05,2.84058120140481e-05,2.76690688355926e-05,2.74887190770568e-05,2.69208807904967e-05,2.59688367969269e-05,2.52997385462625e-05,0
466,0.256381,21.6966,5.37172e-05,5.36528664277553e-05,5.36448395777895e-05,5.36360345356488e-05,5.36360345356488e-05,5.36360345356488e-05,5.36324078342823e-05,5.34070696508946e-05,5.31269060657184e-05,5.29502268120028e-05,5.27153378565068e-05,5.15434898506223e-05,5.13819054421533e-05,5.11683573709318e-05,5.09655634283718e-05,5.0012641310559e-05,4.87154957720378e-05,4.83979632973584e-05,4.73981998498609e-05,4.57219853223997e-05,4.45439387030863e-05,0
434,0.13096,15.0662,9.85642e-05,9.84461561130989e-05,9.84314278687861e-05,9.8415271741241e-05,9.8415271741241e-05,9.8415271741241e-05,9.84086172075196e-05,9.79951504263942e-05,9.74810860365522e-05,9.71569021755343e-05,9.67259109476351e-05,9.45757195522982e-05,9.42792328040458e-05,9.38873993726403e-05,9.35152983935634e-05,9.1766808036573e-05,8.93867116747389e-05,8.88040801462753e-05,8.69696419329686e-05,8.38940023998657e-05,8.17324373407167e-05,0
493,0.666968,6.75337,0.000148434,0.00014825623031985,0.000148234050134586,0.000148209719610562,0.000148209719610562,0.000148209719610562,0.000148199698131583,0.000147577032618247,0.00014680287086741,0.000146314662093572,0.000145665605418613,0.000142427497570374,0.000141980999612798,0.000141390913115294,0.000140830542953224,0.000138197381849603,0.000134613045717697,0.000133735624419741,0.000130973029057997,0.000126341230915704,0.000123085994755012,0
523,0.445013,35.8705,1.9348e-06,1.93248281675927e-06,1.93219370360159e-06,1.93187656131692e-06,1.93187656131692e-06,1.93187656131692e-06,1.9317459338493e-06,1.92362964489122e-06,1.91353864043457e-06,1.90717496138784e-06,1.8987146702503e-06,1.85650674575339e-06,1.85068675674604e-06,1.8429951270967e-06,1.83569084243434e-06,1.80136824718469e-06,1.75464732375736e-06,1.74321035697559e-06,1.70720061860095e-06,1.64682629030886e-06,1.60439510255061e-06,0
487,0.99087,22.1884,6.41773e-05,6.41004390510671e-05,6.40908491700176e-05,6.40803295630579e-05,6.40803295630579e-05,6.40803295630579e-05,6.40759966510371e-05,6.38067794134162e-05,6.34720608790375e-05,6.32609776976825e-05,6.29803499106132e-05,6.1580313404093e-05,6.1387264416848e-05,6.11321331249861e-05,6.08898500631389e-05,5.97513698625419e-05,5.82016372188201e-05,5.78222731252479e-05,5.66278304011467e-05,5.46252144309689e-05,5.32177722839162e-05,0
310,0.274603,23.3199,6.39277e-05,6.38511379806396e-05,6.38415853968013e-05,6.38311067029665e-05,6.38311067029665e-05,6.38311067029665e-05,6.38267906426182e-05,6.35586204515778e-05,6.32252037131017e-05,6.30149414818656e-05,6.27354051195783e-05,6.13408136709216e-05,6.11485154947455e-05,6.08943764660428e-05,6.06530356976895e-05,5.95189833034674e-05,5.79752779196626e-05,5.75973892586461e-05,5.64075919918006e-05,5.44127646469803e-05,5.30107963599982e-05,0
616,0.235699,20.545,4.95176e-05,4.94582960136235e-05,4.94508967011897e-05,4.94427800354904e-05,4.94427800354904e-05,4.94427800354904e-05,4.94394368689146e-05,4.92317155798355e-05,4.89734551279631e-05,4.88105886231232e-05,4.85940632393975e-05,4.75138300772784e-05,4.73648783056893e-05,4.71680253801548e-05,4.69810858276445e-05,4.61026629712594e-05,4.49069280126563e-05,4.46142201636213e-05,4.36926180233793e-05,4.21474496139125e-05,4.10615024447281e-05,0
489,0.840173,17.3348,6.35074e-05,6.34313413464221e-05,6.34218515671425e-05,6.34114417666829e-05,6.34114417666829e-05,6.34114417666829e-05,6.34071540827687e-05,6.31407470074245e-05,6.28095223555585e-05,6.26006425174914e-05,6.23229439990975e-05,6.09375214519635e-05,6.07464875622149e-05,6.04940193997214e-05,6.02542653539458e-05,5.91276689173336e-05,5.75941128017304e-05,5.72187086130823e-05,5.6036733804909e-05,5.40550216813938e-05,5.26622707958044e-05,0
536,0.077008,4.22523,4.91809e-05,4.91219992571614e-05,4.91146502571115e-05,4.9106588781513e-05,4.9106588781513e-05,4.9106588781513e-05,4.91032683471413e-05,4.88969594802723e-05,4.8640455096831e-05,4.84786960194952e-05,4.82636429223242e-05,4.71907549163857e-05,4.70428159576448e-05,4.68473015537679e-05,4.66616331159184e-05,4.57891831858412e-05,4.46015787497303e-05,4.43108611977366e-05,4.33955255857719e-05,4.18608637073862e-05,4.07823005473595e-05,0
