"Population","shapeRisk","v_to_h","aImp","aImp_2000","aImp_2001","aImp_2002","aImp_2003","aImp_2004","aImp_2005","aImp_2006","aImp_2007","aImp_2008","aImp_2009","aImp_2010","aImp_2011","aImp_2012","aImp_2013","aImp_2014","aImp_2015","aImp_2016","aImp_2017","aImp_2018","aImp_2019","aImp_2020"
2842,0.880294,51.3967,1.01227e-05,1.0117665296873e-05,1.01084150992332e-05,1.01084150992332e-05,1.00675573013557e-05,1.00675573013557e-05,1.00564689846623e-05,1.00247517187934e-05,9.97254963006838e-06,9.93648383034892e-06,9.88826155505265e-06,9.85845789682731e-06,9.81852547905286e-06,9.78834880937295e-06,9.75819262289471e-06,9.75819262289471e-06,9.7234531098759e-06,9.70582704876542e-06,9.30059983855993e-06,9.30059983855993e-06,9.29566774024625e-06,0
2536,0.545577,28.5164,3.07138e-05,3.06985239506354e-05,3.06704574545159e-05,3.06704574545159e-05,3.05464887275509e-05,3.05464887275509e-05,3.05128451007262e-05,3.04166101277994e-05,3.02582211097824e-05,3.01487920286653e-05,3.0002478365414e-05,2.99120495669707e-05,2.97908885829407e-05,2.96993280114316e-05,2.96078295890487e-05,2.96078295890487e-05,2.95024246620078e-05,2.9448944531634e-05,2.82194239996801e-05,2.82194239996801e-05,2.82044592688092e-05,0
496,0.904998,50.1498,1.9811e-05,1.98011466502366e-05,1.9783043212869e-05,1.9783043212869e-05,1.97030809662598e-05,1.97030809662598e-05,1.96813801708185e-05,1.96193067364453e-05,1.95171427308213e-05,1.94465588393455e-05,1.93521836730465e-05,1.92938553344509e-05,1.92157041367932e-05,1.91566457824975e-05,1.90976275156003e-05,1.90976275156003e-05,1.90296392819852e-05,1.89951435548907e-05,1.82020788328915e-05,1.82020788328915e-05,1.81924262896281e-05,0
481,0.238812,15.6256,4.80304e-05,4.80065112346436e-05,4.79626207022049e-05,4.79626207022049e-05,4.77687577629521e-05,4.77687577629521e-05,4.77161456845431e-05,4.75656529339338e-05,4.73179633647185e-05,4.71468375991772e-05,4.69180315324766e-05,4.67766185076881e-05,4.65871463314235e-05,4.6443963434035e-05,4.6300877725773e-05,4.6300877725773e-05,4.61360449532816e-05,4.60524124475706e-05,4.41296818522695e-05,4.41296818522695e-05,4.4106279928391e-05,0
465,0.352338,22.5995,7.95027e-05,7.94631579319453e-05,7.93905077805138e-05,7.93905077805138e-05,7.90696146149242e-05,7.90696146149242e-05,7.89825280554507e-05,7.87334237381046e-05,7.83234336169636e-05,7.80401763382379e-05,7.76614432841914e-05,7.74273682549213e-05,7.71137429345427e-05,7.68767383096342e-05,7.6639894557797e-05,7.6639894557797e-05,7.63670538056576e-05,7.62286204382114e-05,7.30460053923438e-05,7.30460053923438e-05,7.30072691725009e-05,0
485,0.371028,14.8529,9.446e-05,9.44130186553607e-05,9.43267004132857e-05,9.43267004132857e-05,9.39454357716874e-05,9.39454357716874e-05,9.38419651171328e-05,9.35459953725014e-05,9.30588714528988e-05,9.27223233539232e-05,9.22723370731399e-05,9.19942241629513e-05,9.16215947080654e-05,9.13400010405691e-05,9.10585985121197e-05,9.10585985121197e-05,9.07344266607602e-05,9.05699490280638e-05,8.67885703172445e-05,8.67885703172445e-05,8.6742546429674e-05,0
428,0.845857,0.577072,0.000229838,0.000229723686022769,0.000229513658369561,0.000229513658369561,0.000228585973606745,0.000228585973606745,0.000228334211079733,0.000227614063989254,0.000226428804753243,0.000225609923301069,0.000224515026553211,0.000223838328320606,0.000222931654504683,0.000222246486969747,0.000221561784510148,0.000221561784510148,0.000220773016672198,0.000220372813304173,0.000211172045570346,0.000211172045570346,0.000211060061256653,0
570,0.355673,5.24145,4.3567e-05,4.35453311852435e-05,4.35055193405211e-05,4.35055193405211e-05,4.33296718215658e-05,4.33296718215658e-05,4.3281948912324e-05,4.314544124914e-05,4.29207691360199e-05,4.27655458560277e-05,4.25580024271171e-05,4.24297307231347e-05,4.22578659395118e-05,4.21279888347922e-05,4.19981998875452e-05,4.19981998875452e-05,4.18486848012845e-05,4.17728241510232e-05,4.00287703050115e-05,4.00287703050115e-05,4.00075430902139e-05,0
413,0.227569,14.5334,6.7896e-05,6.78622307286087e-05,6.78001868649211e-05,6.78001868649211e-05,6.75261412995394e-05,6.75261412995394e-05,6.74517686173285e-05,6.72390313551911e-05,6.68888962117936e-05,6.66469920224219e-05,6.63235506872529e-05,6.61236485683649e-05,6.58558098062546e-05,6.56534057871107e-05,6.54511391549744e-05,6.54511391549744e-05,6.52181307702623e-05,6.50999074656936e-05,6.23819264266317e-05,6.23819264266317e-05,6.23488453566498e-05,0
319,0.183978,26.767,3.2811e-05,3.27946808712793e-05,3.276469793839e-05,3.276469793839e-05,3.26322643775655e-05,3.26322643775655e-05,3.25963234962762e-05,3.24935174059617e-05,3.2324313267426e-05,3.22074121486934e-05,3.20511078944187e-05,3.19545044358522e-05,3.1825070336294e-05,3.17272578249218e-05,3.1629511706343e-05,3.1629511706343e-05,3.15169095190155e-05,3.14597776578425e-05,3.014630299258e-05,3.014630299258e-05,3.01303164398056e-05,0
376,0.236627,22.3936,4.2989e-06,4.29676186637233e-06,4.29283349996479e-06,4.29283349996479e-06,4.27548204360478e-06,4.27548204360478e-06,4.27077306629306e-06,4.25730340362954e-06,4.23513426306232e-06,4.21981786858121e-06,4.19933887194284e-06,4.18668187861647e-06,4.16972341192571e-06,4.15690800839829e-06,4.1441013036603e-06,4.1441013036603e-06,4.12934815553612e-06,4.12186273424459e-06,3.94977117231423e-06,3.94977117231423e-06,3.94767661281522e-06,0
1016,0.20239,10.8574,6.50632e-05,6.50308396715802e-05,6.49713844413476e-05,6.49713844413476e-05,6.47087727789589e-05,6.47087727789589e-05,6.46375031209934e-05,6.44336418179138e-05,6.4098115235171e-05,6.38663039259049e-05,6.35563574153834e-05,6.3364795739561e-05,6.31081319162587e-05,6.29141727260508e-05,6.27203451907024e-05,6.27203451907024e-05,6.24970585296885e-05,6.23837678128596e-05,5.97791881035882e-05,5.97791881035882e-05,5.97474872630019e-05,0
384,0.10881,7.8043,0.00018578,0.000185687599045024,0.000185517831915946,0.000185517831915946,0.00018476797647326,0.00018476797647326,0.000184564474692578,0.000183982373706366,0.000183024318637725,0.000182362409831589,0.000181477395526656,0.000180930414619872,0.000180197542503328,0.000179643715787814,0.000179090264996629,0.000179090264996629,0.000178452697279653,0.000178129209511261,0.000170692151106687,0.000170692151106687,0.000170601633238459,0
347,0.310091,31.724,4.60496e-05,4.60266964204097e-05,4.59846159575656e-05,4.59846159575656e-05,4.57987480320972e-05,4.57987480320972e-05,4.57483057046149e-05,4.56040193574586e-05,4.53665446417257e-05,4.52024761964728e-05,4.49831062172693e-05,4.48475251430684e-05,4.4665866903118e-05,4.45285889468324e-05,4.43914041715404e-05,4.43914041715404e-05,4.42333691928578e-05,4.41531857374839e-05,4.23097496049225e-05,4.23097496049225e-05,4.22873127892009e-05,0
335,0.206872,0.83893,0.00019337,0.000193273824024848,0.000193097121098,0.000193097121098,0.000192316630480322,0.000192316630480322,0.000192104814680288,0.000191498932089568,0.000190501735897174,0.000189812784956046,0.000188891613591288,0.000188322285902921,0.000187559472461344,0.000186983019280276,0.00018640695738184,0.00018640695738184,0.000185743341979581,0.000185406638191369,0.000177665740442998,0.000177665740442998,0.000177571524487678,0
366,0.122279,2.12579,4.13629e-05,4.13423274331973e-05,4.13045297112502e-05,4.13045297112502e-05,4.11375785018074e-05,4.11375785018074e-05,4.10922699443516e-05,4.09626683463184e-05,4.07493626298868e-05,4.06019922576328e-05,4.04049486673997e-05,4.02831663627963e-05,4.01199963979487e-05,3.9996689911507e-05,3.98734671225594e-05,3.98734671225594e-05,3.97315161605585e-05,3.96594933797682e-05,3.80036730380601e-05,3.80036730380601e-05,3.79835197302134e-05,0
331,0.844024,8.17333,5.33421e-05,5.33155693670984e-05,5.32668249641703e-05,5.32668249641703e-05,5.30515226495546e-05,5.30515226495546e-05,5.29930921816071e-05,5.28259563811085e-05,5.25508747292788e-05,5.23608241009666e-05,5.21067142852968e-05,5.19496623409122e-05,5.17392363654149e-05,5.15802188175539e-05,5.14213092070013e-05,5.14213092070013e-05,5.12382475162072e-05,5.11453660602359e-05,4.90099999652709e-05,4.90099999652709e-05,4.89840100138293e-05,0
1835,0.590029,3.70786,5.34075e-05,5.33809368392566e-05,5.33321326733279e-05,5.33321326733279e-05,5.31165663876392e-05,5.31165663876392e-05,5.3058064281106e-05,5.28907235640151e-05,5.26153046487476e-05,5.24250210091537e-05,5.21705996425335e-05,5.20133551448531e-05,5.18026711769109e-05,5.16434586658289e-05,5.14843542243917e-05,5.14843542243917e-05,5.1301068091092e-05,5.12080727579538e-05,4.90700886006589e-05,4.90700886006589e-05,4.90440667842771e-05,0
