"Population","shapeRisk","v_to_h","aImp","aImp_2000","aImp_2001","aImp_2002","aImp_2003","aImp_2004","aImp_2005","aImp_2006","aImp_2007","aImp_2008","aImp_2009","aImp_2010","aImp_2011","aImp_2012","aImp_2013","aImp_2014","aImp_2015","aImp_2016","aImp_2017","aImp_2018","aImp_2019","aImp_2020"
5165,0.0737001,15.4986,0.000159829,0.000159829,0.000159829,0.000128852282525578,0.000106718637605637,8.93205940997166e-05,7.49749784012619e-05,6.22347316548442e-05,5.13732805295073e-05,4.21653115528274e-05,3.12366760908059e-05,2.27313723650711e-05,2.27313723650711e-05,2.27313723650711e-05,2.27136575832831e-05,2.21061178039219e-05,2.11658148793886e-05,2.11658148793886e-05,2.11658148793886e-05,2.11658148793886e-05,1.99719321109405e-05,0
5219,0.329929,16.1753,0.000218513,0.000218513,0.000218513,0.000176162641394938,0.000145902243392129,0.000122116205310121,0.000102503347048376,8.50852968991545e-05,7.02358748934438e-05,5.76470397946741e-05,4.27057655533743e-05,3.10775914859554e-05,3.10775914859554e-05,3.10775914859554e-05,3.10533724136166e-05,3.02227638268924e-05,2.89372123127832e-05,2.89372123127832e-05,2.89372123127832e-05,2.89372123127832e-05,2.73049747001979e-05,0
5514,0.799849,70.8154,3.50151e-05,3.50151e-05,3.50151e-05,2.82287667310773e-05,2.33797606668698e-05,1.95682231288501e-05,1.64254069425325e-05,1.3634292602516e-05,1.12547820174609e-05,9.23751384638211e-06,6.84328461660385e-06,4.97995530535885e-06,4.97995530535885e-06,4.97995530535885e-06,4.9760743772683e-06,4.84297546450335e-06,4.63697529599308e-06,4.63697529599308e-06,4.63697529599308e-06,4.63697529599308e-06,4.37542123180269e-06,0
5396,0.257716,28.4685,5.11596e-05,5.11596e-05,5.11596e-05,4.12442750257809e-05,3.41595255707621e-05,2.85905928580161e-05,2.39987105282345e-05,1.99206900973488e-05,1.6444052597322e-05,1.34966775298477e-05,9.99853502265041e-06,7.27607579130251e-06,7.27607579130251e-06,7.27607579130251e-06,7.27040547396109e-06,7.07593831158002e-06,6.77495712857846e-06,6.77495712857846e-06,6.77495712857846e-06,6.77495712857846e-06,6.3928076758465e-06,0
5413,0.27544,18.8181,0.000184344,0.000184344,0.000184344,0.000148615990651853,0.000123087428006016,0.000103020825999776,8.64748413517085e-05,7.17804614442973e-05,5.92530518612485e-05,4.86327399464078e-05,3.60278411132117e-05,2.62179711270587e-05,2.62179711270587e-05,2.62179711270587e-05,2.61975392046045e-05,2.54968133470533e-05,2.44122842420712e-05,2.44122842420712e-05,2.44122842420712e-05,2.44122842420712e-05,2.30352805376947e-05,0
5425,0.917143,40.5292,0.000105951,0.000105951,0.000105951,8.54164650086497e-05,7.07440225050199e-05,5.92108207237677e-05,4.97010801330928e-05,4.12555421954864e-05,3.40554620587117e-05,2.7951478920181e-05,2.0706862137015e-05,1.50686773579991e-05,1.50686773579991e-05,1.50686773579991e-05,1.50569341897054e-05,1.46541947171247e-05,1.40308658146275e-05,1.40308658146275e-05,1.40308658146275e-05,1.40308658146275e-05,1.3239438268939e-05,0
5193,0.976236,36.8953,7.75884e-05,7.75884e-05,7.75884e-05,6.2550866472965e-05,5.18061699816754e-05,4.33603537733856e-05,3.63963274136012e-05,3.02116215050379e-05,2.49389700181796e-05,2.04689953568213e-05,1.5163729480907e-05,1.10348610803426e-05,1.10348610803426e-05,1.10348610803426e-05,1.10262615047006e-05,1.07313335540973e-05,1.02748669589871e-05,1.02748669589871e-05,1.02748669589871e-05,1.02748669589871e-05,9.69530096163083e-06,0
5292,0.0853621,7.52451,0.000189595,0.000189595,0.000189595,0.000152849285833215,0.000126593547459101,0.000105955352522607,8.89380589879637e-05,7.38251127648936e-05,6.09408625593099e-05,5.00180332972008e-05,3.70540865765058e-05,2.69647845106686e-05,2.69647845106686e-05,2.69647845106686e-05,2.69437705892082e-05,2.62230847032427e-05,2.5107663015208e-05,2.5107663015208e-05,2.5107663015208e-05,2.5107663015208e-05,2.36914356504374e-05,0
5377,0.0225103,7.876,1.36522e-05,1.36522e-05,1.36522e-05,1.10062449961877e-05,9.1156434959843e-06,7.62954541896746e-06,6.40417821627932e-06,5.31593768025992e-06,4.38817924434827e-06,3.60165718600198e-06,2.66816002932446e-06,1.94165790815448e-06,1.94165790815448e-06,1.94165790815448e-06,1.94014475507259e-06,1.88825020166992e-06,1.80793183900536e-06,1.80793183900536e-06,1.80793183900536e-06,1.80793183900536e-06,1.70595330988107e-06,0
5267,0.309352,27.5695,0.000134687,0.000134687,0.000134687,0.000108583094285283,8.99311961107835e-05,7.52699626319913e-05,6.31809929107406e-05,5.24448585825851e-05,4.32919747647658e-05,3.55324710604187e-05,2.63229713796768e-05,1.91555997330542e-05,1.91555997330542e-05,1.91555997330542e-05,1.91406715860053e-05,1.86287012285432e-05,1.78363132389004e-05,1.78363132389004e-05,1.78363132389004e-05,1.78363132389004e-05,1.68302349400061e-05,0
5063,0.396401,16.9432,0.000143941,0.000143941,0.000143941,0.000116043561550245,9.61101390585749e-05,8.04415696482322e-05,6.75219976728631e-05,5.60482109575229e-05,4.62664558540554e-05,3.79738164552461e-05,2.81315555574188e-05,2.04717320986848e-05,2.04717320986848e-05,2.04717320986848e-05,2.04557782767542e-05,1.99086317427646e-05,1.90618007968145e-05,1.90618007968145e-05,1.90618007968145e-05,1.90618007968145e-05,1.79865974258794e-05,0
5557,0.828257,63.573,6.65434e-05,6.65434e-05,6.65434e-05,5.3646515820111e-05,4.4431367208998e-05,3.71878446428063e-05,3.12151735776769e-05,2.59108837720373e-05,2.13888140174012e-05,1.75551570289773e-05,1.30051156659989e-05,9.46400718166209e-06,9.46400718166209e-06,9.46400718166209e-06,9.4566317878948e-06,9.2036879381933e-06,8.81220107643234e-06,8.81220107643234e-06,8.81220107643234e-06,8.81220107643234e-06,8.31513847443929e-06,0
4943,0.872527,22.0344,0.000152074,0.000152074,0.000152074,0.000122600291641659,0.000101540584595034,8.49867047101609e-05,7.13371469845491e-05,5.92150647359288e-05,4.88806178055565e-05,4.01194250673199e-05,2.97210536250193e-05,2.16284323936571e-05,2.16284323936571e-05,2.16284323936571e-05,2.16115771438236e-05,2.1033515562968e-05,2.01388367065309e-05,2.01388367065309e-05,2.01388367065309e-05,2.01388367065309e-05,1.90028818539762e-05,0
4463,0.0499167,18.9691,0.000131321,0.000131321,0.000131321,0.000105869464199497,8.76837007615003e-05,7.3388870216099e-05,6.16020192745504e-05,5.11341946433112e-05,4.22100530718169e-05,3.46444692667091e-05,2.56651267349525e-05,1.86768768518448e-05,1.86768768518448e-05,1.86768768518448e-05,1.866232177824e-05,1.81631462133207e-05,1.73905610106813e-05,1.73905610106813e-05,1.73905610106813e-05,1.73905610106813e-05,1.64096258923025e-05,0
4521,0.277807,19.5964,0.000163387,0.000163387,0.000163387,0.00013172070078025,0.000109094332333132,9.13089859047507e-05,7.66440182698194e-05,6.36201571735418e-05,5.25169161158151e-05,4.31039658552691e-05,3.19320448507373e-05,2.32374020772943e-05,2.32374020772943e-05,2.32374020772943e-05,2.32192929415805e-05,2.25982285419379e-05,2.16369932596629e-05,2.16369932596629e-05,2.16369932596629e-05,2.16369932596629e-05,2.04165331185844e-05,0
4590,0.023405,8.08929,0.000138167,0.000138167,0.000138167,0.000111388629846345,9.22548098408801e-05,7.72147640601865e-05,6.48134433723989e-05,5.37999122096419e-05,4.44105390818965e-05,3.6450547781188e-05,2.70030959678054e-05,1.96505360451781e-05,1.96505360451781e-05,1.96505360451781e-05,1.96352221893991e-05,1.91100237041743e-05,1.82971622449022e-05,1.82971622449022e-05,1.82971622449022e-05,1.82971622449022e-05,1.72650892139243e-05,0
4492,0.360115,25.7778,0.000190663,0.000190663,0.000190663,0.000153710295022644,0.000127306656500407,0.000106552205374708,8.94390524055071e-05,7.42409740504386e-05,6.1284146091119e-05,5.02997878770231e-05,3.72628144673452e-05,2.71166787581825e-05,2.71166787581825e-05,2.71166787581825e-05,2.70955464640428e-05,2.63708009112812e-05,2.52490959860154e-05,2.52490959860154e-05,2.52490959860154e-05,2.52490959860154e-05,2.38248909276054e-05,0
4951,0.706803,23.4169,0.000200559,0.000200559,0.000200559,0.00016168833522732,0.000133914266119096,0.000112082594723392,9.40812161321079e-05,7.80943104565748e-05,6.44649830113275e-05,5.29105025979235e-05,3.91968699053109e-05,2.85241183400152e-05,2.85241183400152e-05,2.85241183400152e-05,2.85018892143833e-05,2.77395271235932e-05,2.65596022398644e-05,2.65596022398644e-05,2.65596022398644e-05,2.65596022398644e-05,2.50614765295291e-05,0
3864,0.313318,22.7171,0.000157593,0.000157593,0.000157593,0.000127049645308757,0.00010522564901354,8.80710032970027e-05,7.39260820701503e-05,6.13640707611375e-05,5.0654570813098e-05,4.15754208782181e-05,3.07996764991232e-05,2.24133615622237e-05,2.24133615622237e-05,2.24133615622237e-05,2.23958946093783e-05,2.17968542822233e-05,2.08697061502448e-05,2.08697061502448e-05,2.08697061502448e-05,2.08697061502448e-05,1.96925257441356e-05,0
4014,0.423664,11.732,0.000243255,0.000243255,0.000243255,0.000196109354283386,0.00016242260284904,0.000135943296383801,0.000114109694554799,9.47194166809472e-05,7.81886100470209e-05,6.41743542272242e-05,4.75412950244886e-05,3.45964748866937e-05,3.45964748866937e-05,3.45964748866937e-05,3.45695135139525e-05,3.36448559797848e-05,3.22137428031563e-05,3.22137428031563e-05,3.22137428031563e-05,3.22137428031563e-05,3.03966886212566e-05,0
3470,0.0349946,13.3723,0.000109686,0.000109686,0.000109686,8.84275786065139e-05,7.32379010343047e-05,6.12981291531669e-05,5.14531498096141e-05,4.27098885452154e-05,3.52559901404597e-05,2.89368285041102e-05,2.1436823440653e-05,1.55998805550631e-05,1.55998805550631e-05,1.55998805550631e-05,1.55877234148996e-05,1.51707865120909e-05,1.45254839288278e-05,1.45254839288278e-05,1.45254839288278e-05,1.45254839288278e-05,1.3706156864653e-05,0
3605,0.924414,43.5314,0.000110328,0.000110328,0.000110328,8.8945151546227e-05,7.36665677052018e-05,6.16569114856098e-05,5.17543087740924e-05,4.29598725764138e-05,3.54623459713787e-05,2.91061978301831e-05,2.15622947008767e-05,1.56911877712653e-05,1.56911877712653e-05,1.56911877712653e-05,1.56789594744912e-05,1.52595822101815e-05,1.46105026247626e-05,1.46105026247626e-05,1.46105026247626e-05,1.46105026247626e-05,1.37863799807034e-05,0
3723,0.192143,21.4242,9.20728e-05,9.20728e-05,9.20728e-05,7.42280214386688e-05,6.14774776575983e-05,5.14549749821646e-05,4.31908864557978e-05,3.5851603906113e-05,2.95946404190555e-05,2.4290199510359e-05,1.79945330970822e-05,1.30948770341722e-05,1.30948770341722e-05,1.30948770341722e-05,1.30846720678607e-05,1.273468621675e-05,1.21930052758071e-05,1.21930052758071e-05,1.21930052758071e-05,1.21930052758071e-05,1.15052444228782e-05,0
3846,0.32786,19.4616,0.000129039,0.000129039,0.000129039,0.000104029742317214,8.61599977350404e-05,7.21135722680698e-05,6.05315445752675e-05,5.0245622121201e-05,4.14765577351238e-05,3.40424430952161e-05,2.52191369906681e-05,1.83523237874003e-05,1.83523237874003e-05,1.83523237874003e-05,1.83380216411869e-05,1.78475203830361e-05,1.70883605992743e-05,1.70883605992743e-05,1.70883605992743e-05,1.70883605992743e-05,1.61244714517619e-05,0
5296,0.551615,21.1646,0.000238974,0.000238974,0.000238974,0.000192658061830252,0.000159564157337964,0.00013355085531653,0.000112101499029983,9.30524670897317e-05,7.68125830810333e-05,6.30449615715882e-05,4.67046245182304e-05,3.39876178889344e-05,3.39876178889344e-05,3.39876178889344e-05,3.39611310044328e-05,3.30527463481247e-05,3.16468190690488e-05,3.16468190690488e-05,3.16468190690488e-05,3.16468190690488e-05,2.98617428894624e-05,0
5275,0.558534,36.8522,8.34658e-05,8.34658e-05,8.34658e-05,6.72891580553176e-05,5.57305399061783e-05,4.66449445532921e-05,3.91533861329549e-05,3.25001824785045e-05,2.68281222933244e-05,2.20195425173528e-05,1.63123973700642e-05,1.18707630001348e-05,1.18707630001348e-05,1.18707630001348e-05,1.18615119979152e-05,1.15442429559003e-05,1.10531985532042e-05,1.10531985532042e-05,1.10531985532042e-05,1.10531985532042e-05,1.04297298436788e-05,0
5329,0.533275,19.8877,0.000232755,0.000232755,0.000232755,0.000187644376297423,0.000155411699353059,0.000130075361040109,0.000109184197472209,9.06308928062069e-05,7.48136315039541e-05,6.14042951559375e-05,4.54891949741006e-05,3.31031325656302e-05,3.31031325656302e-05,3.31031325656302e-05,3.30773349692299e-05,3.21925898895184e-05,3.08232501126334e-05,3.08232501126334e-05,3.08232501126334e-05,3.08232501126334e-05,2.90846283120207e-05,0
5379,0.343525,17.3018,0.000247822,0.000247822,0.000247822,0.000199791216613091,0.000165472012017244,0.000138495568832815,0.000116252051238245,9.64977298748462e-05,7.9656564999991e-05,6.53791980156592e-05,4.84338608273573e-05,3.52460076848172e-05,3.52460076848172e-05,3.52460076848172e-05,3.52185401247857e-05,3.42765225735225e-05,3.28185409095961e-05,3.28185409095961e-05,3.28185409095961e-05,3.28185409095961e-05,3.09673723767119e-05,0
5296,0.118209,26.9657,0.000137209,0.000137209,0.000137209,0.000110616301378673,9.16151483600087e-05,7.66793848164477e-05,6.43640504004826e-05,5.34268830789751e-05,4.41026124681576e-05,3.61978128678268e-05,2.681586626797e-05,1.95142863362659e-05,1.95142863362659e-05,1.95142863362659e-05,1.94990786612235e-05,1.89775217123195e-05,1.81702963403764e-05,1.81702963403764e-05,1.81702963403764e-05,1.81702963403764e-05,1.71453793304721e-05,0
5173,0.0680247,7.5627,0.000223904,0.000223904,0.000223904,0.000180508802949445,0.000149501841558494,0.000125128970970869,0.000105032237979066,8.7184461871414e-05,7.19686853054127e-05,5.90692672664176e-05,4.37593723506735e-05,3.18443161005129e-05,3.18443161005129e-05,3.18443161005129e-05,3.18194995121499e-05,3.0968398730952e-05,2.96511309884603e-05,2.96511309884603e-05,2.96511309884603e-05,2.96511309884603e-05,2.79786239503971e-05,0
5107,0.877403,33.1055,0.000132976,0.000132976,0.000132976,0.000107203705967761,8.8788752693486e-05,7.4313768596462e-05,6.23783714337586e-05,5.17786238826155e-05,4.27420139755099e-05,3.50810833393738e-05,2.59885767905136e-05,1.891225604626e-05,1.891225604626e-05,1.891225604626e-05,1.88975175393367e-05,1.83920510113579e-05,1.76097291442828e-05,1.76097291442828e-05,1.76097291442828e-05,1.76097291442828e-05,1.6616431588663e-05,0
5138,0.341793,24.8259,0.000207477,0.000207477,0.000207477,0.0001672655464375,0.000138533449965305,0.000115948725838408,9.73264150670942e-05,8.07880636151894e-05,6.66886117314166e-05,5.47355758031769e-05,4.05489106813665e-05,2.95080175949787e-05,2.95080175949787e-05,2.95080175949787e-05,2.9485021706992e-05,2.86963630104944e-05,2.74757382811061e-05,2.74757382811061e-05,2.74757382811061e-05,2.74757382811061e-05,2.59259368361286e-05,0
5219,0.329929,16.1753,0.000218513,0.000218513,0.000218513,0.000176162641394938,0.000145902243392129,0.000122116205310121,0.000102503347048376,8.50852968991545e-05,7.02358748934438e-05,5.76470397946741e-05,4.27057655533743e-05,3.10775914859554e-05,3.10775914859554e-05,3.10775914859554e-05,3.10533724136166e-05,3.02227638268924e-05,2.89372123127832e-05,2.89372123127832e-05,2.89372123127832e-05,2.89372123127832e-05,2.73049747001979e-05,0
5205,0.252532,16.2032,0.000208207,0.000208207,0.000208207,0.00016785406395462,0.000139020874684549,0.000116356687057541,9.76688543880743e-05,8.10723133702903e-05,6.69232530967917e-05,5.49281608624188e-05,4.06915804943935e-05,2.96118404420621e-05,2.96118404420621e-05,2.96118404420621e-05,2.95887636439108e-05,2.87973300815319e-05,2.75724106300662e-05,2.75724106300662e-05,2.75724106300662e-05,2.75724106300662e-05,2.60171562671517e-05,0
4976,0.241536,17.1349,0.000181777,0.000181777,0.000181777,0.00014654650508138,0.000121373429027522,0.000101586255520989,8.52706745887553e-05,7.07809147027298e-05,5.84279499641007e-05,4.79555264572656e-05,3.55261515104169e-05,2.58528844853282e-05,2.58528844853282e-05,2.58528844853282e-05,2.58327370784804e-05,2.51417688657472e-05,2.40723418862072e-05,2.40723418862072e-05,2.40723418862072e-05,2.40723418862072e-05,2.27145130316177e-05,0
5052,0.382142,21.2588,0.000229756,0.000229756,0.000229756,0.000185226617346956,0.000153409251773587,0.000128399366935753,0.000107777381686429,8.94631325109359e-05,7.38496733467486e-05,6.06131135221481e-05,4.49030761120898e-05,3.26766055541189e-05,3.26766055541189e-05,3.26766055541189e-05,3.26511403544087e-05,3.17777950319271e-05,3.0426098914645e-05,3.0426098914645e-05,3.0426098914645e-05,3.0426098914645e-05,2.87098788960779e-05,0
5606,0.122597,7.2528,0.000185612,0.000185612,0.000185612,0.000149638237517206,0.000123934078066293,0.0001037294490489,8.70696537613013e-05,7.22741993750755e-05,5.96606206986399e-05,4.89672575561594e-05,3.62756566240586e-05,2.63983099902119e-05,2.63983099902119e-05,2.63983099902119e-05,2.637773752791e-05,2.5672191766335e-05,2.45802027879363e-05,2.45802027879363e-05,2.45802027879363e-05,2.45802027879363e-05,2.31937274398006e-05,0
5596,0.245882,19.3973,0.000166368,0.000166368,0.000166368,0.000134123948339884,0.000111084761220896,9.29749206913742e-05,7.80423903463147e-05,6.47809085707419e-05,5.34750885955182e-05,4.38903988163649e-05,3.25146458269475e-05,2.36613690733981e-05,2.36613690733981e-05,2.36613690733981e-05,2.36429295360394e-05,2.30105338005173e-05,2.20317607558961e-05,2.20317607558961e-05,2.20317607558961e-05,2.20317607558961e-05,2.07890332882828e-05,0
5123,0.331341,13.9393,0.00014551,0.00014551,0.00014551,0.000117308471117862,9.7157768352403e-05,8.13184068438754e-05,6.82580076654901e-05,5.66591532393769e-05,4.67707740763479e-05,3.83877424250412e-05,2.84381979363768e-05,2.06948801083751e-05,2.06948801083751e-05,2.06948801083751e-05,2.06787523850085e-05,2.01256417899672e-05,1.92695801331412e-05,1.92695801331412e-05,1.92695801331412e-05,1.92695801331412e-05,1.81826567235167e-05,0
5088,0.244132,17.8591,9.4698e-05,9.4698e-05,9.4698e-05,7.63444271728356e-05,6.32303370726126e-05,5.29220705882847e-05,4.44223545454373e-05,3.68738127514433e-05,3.04384493401278e-05,2.49827670412106e-05,1.85075971972992e-05,1.34682410590537e-05,1.34682410590537e-05,1.34682410590537e-05,1.34577451264898e-05,1.30977804015279e-05,1.25406549340128e-05,1.25406549340128e-05,1.25406549340128e-05,1.25406549340128e-05,1.18332844918121e-05,0
4514,0.649858,30.4,0.00014823,0.00014823,0.00014823,0.000119501303510417,9.89739262104096e-05,8.28384815233843e-05,6.9533945957361e-05,5.77182756145477e-05,4.76450542322662e-05,3.91053196320793e-05,2.89697895684773e-05,2.10817268810697e-05,2.10817268810697e-05,2.10817268810697e-05,2.10652976842128e-05,2.05018478628743e-05,1.96297839539243e-05,1.96297839539243e-05,1.96297839539243e-05,1.96297839539243e-05,1.85225428226712e-05,0
4875,0.0277922,0.737825,0.000234582,0.000234582,0.000234582,0.000189117282466981,0.000156631596561359,0.000131096381789911,0.00011004123396458,9.13422959604117e-05,7.54008777704477e-05,6.18862854343414e-05,4.58462603828681e-05,3.33629741294953e-05,3.33629741294953e-05,3.33629741294953e-05,3.33369740360116e-05,3.24452841892248e-05,3.10651958407844e-05,3.10651958407844e-05,3.10651958407844e-05,3.10651958407844e-05,2.93129268058277e-05,0
4943,0.872527,22.0344,0.000152074,0.000152074,0.000152074,0.000122600291641659,0.000101540584595034,8.49867047101609e-05,7.13371469845491e-05,5.92150647359288e-05,4.88806178055565e-05,4.01194250673199e-05,2.97210536250193e-05,2.16284323936571e-05,2.16284323936571e-05,2.16284323936571e-05,2.16115771438236e-05,2.1033515562968e-05,2.01388367065309e-05,2.01388367065309e-05,2.01388367065309e-05,2.01388367065309e-05,1.90028818539762e-05,0
4920,0.435155,9.69192,0.000202668,0.000202668,0.000202668,0.000163388586519929,0.000135322456164145,0.000113261211450997,9.50705374032681e-05,7.89155196805583e-05,6.5142871558692e-05,5.34668887485276e-05,3.96090488582888e-05,2.88240668119316e-05,2.88240668119316e-05,2.88240668119316e-05,2.8801603933509e-05,2.80312251411524e-05,2.68388926288466e-05,2.68388926288466e-05,2.68388926288466e-05,2.68388926288466e-05,2.53250132144985e-05,0
4587,0.0573571,13.4797,0.000248437,0.000248437,0.000248437,0.000200287022466554,0.00016588265065058,0.00013883926218866,0.000116540544638797,9.67372005589381e-05,7.98542423146563e-05,6.55414443326917e-05,4.855405525888e-05,3.5333474877908e-05,3.5333474877908e-05,3.5333474877908e-05,3.53059391538337e-05,3.43615838730953e-05,3.28999840528981e-05,3.28999840528981e-05,3.28999840528981e-05,3.28999840528981e-05,3.10442216233958e-05,0
5560,0.0761047,11.2308,0.000207879,0.000207879,0.000207879,0.000167589634166106,0.000138801867413437,0.000116173383934424,9.75149912411134e-05,8.0944595672108e-05,6.68178251956369e-05,5.48416294933347e-05,4.06274767975814e-05,2.95651912724137e-05,2.95651912724137e-05,2.95651912724137e-05,2.95421508284185e-05,2.87519640550931e-05,2.75289742869718e-05,2.75289742869718e-05,2.75289742869718e-05,2.75289742869718e-05,2.59761700022536e-05,0
5437,0.466295,27.0363,0.00019583,0.00019583,0.00019583,0.000157875870380118,0.000130756688725525,0.00010943978841479,9.18628660651015e-05,7.6252917180037e-05,6.29449569608358e-05,5.16629207552458e-05,3.82726431302362e-05,2.78515454032239e-05,2.78515454032239e-05,2.78515454032239e-05,2.78298404202887e-05,2.70854541387484e-05,2.5933350817628e-05,2.5933350817628e-05,2.5933350817628e-05,2.5933350817628e-05,2.44705495578742e-05,0
5393,0.230614,23.2355,0.000120615,0.000120615,0.000120615,9.72384114073325e-05,8.05352500159789e-05,6.74058115694731e-05,5.65798886301497e-05,4.69654578239808e-05,3.87688606640004e-05,3.18200642745952e-05,2.35727664359569e-05,1.71542365766729e-05,1.71542365766729e-05,1.71542365766729e-05,1.71408681115923e-05,1.66823880454738e-05,1.59727881778491e-05,1.59727881778491e-05,1.59727881778491e-05,1.59727881778491e-05,1.50718242093806e-05,0
5679,0.42322,38.4157,8.79927e-05,8.79927e-05,8.79927e-05,7.09386922309993e-05,5.8753174100079e-05,4.91748070778027e-05,4.12769321084954e-05,3.42628814050342e-05,2.82831880425253e-05,2.32138073182869e-05,1.71971261051214e-05,1.25145926528226e-05,1.25145926528226e-05,1.25145926528226e-05,1.25048399078299e-05,1.21703632762838e-05,1.16526863018449e-05,1.16526863018449e-05,1.16526863018449e-05,1.16526863018449e-05,1.0995402778334e-05,0
5587,0.314459,25.4737,0.000110758,0.000110758,0.000110758,8.92918125494617e-05,7.39536808959896e-05,6.18972174092087e-05,5.19560196069985e-05,4.31273073636651e-05,3.56005593783805e-05,2.92196383445311e-05,2.16463330838926e-05,1.57523436948898e-05,1.57523436948898e-05,1.57523436948898e-05,1.57400677387036e-05,1.53190559643543e-05,1.46674466111364e-05,1.46674466111364e-05,1.46674466111364e-05,1.46674466111364e-05,1.38401119743197e-05,0
5377,0.0225103,7.876,1.36522e-05,1.36522e-05,1.36522e-05,1.10062449961877e-05,9.1156434959843e-06,7.62954541896746e-06,6.40417821627932e-06,5.31593768025992e-06,4.38817924434827e-06,3.60165718600198e-06,2.66816002932446e-06,1.94165790815448e-06,1.94165790815448e-06,1.94165790815448e-06,1.94014475507259e-06,1.88825020166992e-06,1.80793183900536e-06,1.80793183900536e-06,1.80793183900536e-06,1.80793183900536e-06,1.70595330988107e-06,0
5381,0.987889,26.56,0.000183361,0.000183361,0.000183361,0.000147823507474691,0.000122431073897773,0.000102471475481409,8.6013721005786e-05,7.13976977329764e-05,5.89370895843119e-05,4.83734096543054e-05,3.58357254608754e-05,2.60781658411915e-05,2.60781658411915e-05,2.60781658411915e-05,2.605784287037e-05,2.53608535787931e-05,2.42821076406632e-05,2.42821076406632e-05,2.42821076406632e-05,2.42821076406632e-05,2.29124467011253e-05,0
5602,0.332939,27.7317,0.00011926,0.00011926,0.00011926,9.61460261529534e-05,7.96305096124499e-05,6.66485684846442e-05,5.59442649590155e-05,4.64378435525262e-05,3.83333277186809e-05,3.14625947468244e-05,2.33079478104068e-05,1.69615243057166e-05,1.69615243057166e-05,1.69615243057166e-05,1.69483060232019e-05,1.64949765643014e-05,1.5793348406834e-05,1.5793348406834e-05,1.5793348406834e-05,1.5793348406834e-05,1.49025059504268e-05,0
5203,0.368317,35.7337,7.37007e-05,7.37007e-05,7.37007e-05,5.94166479095335e-05,4.92103328844062e-05,4.11877087985596e-05,3.45726269366503e-05,2.86978163366734e-05,2.36893601056195e-05,1.94433611995412e-05,1.44039247793933e-05,1.0481940419238e-05,1.0481940419238e-05,1.0481940419238e-05,1.04737717400989e-05,1.01936216608469e-05,9.76002710823037e-06,9.76002710823037e-06,9.76002710823037e-06,9.76002710823037e-06,9.20950126027686e-06,0
5725,0.532735,30.6414,0.000170364,0.000170364,0.000170364,0.000137345477104828,0.000113752910779938,9.52080892278881e-05,7.99168938074603e-05,6.63368839425002e-05,5.4759509001051e-05,4.49446041543517e-05,3.32956164746952e-05,2.42296924938714e-05,2.42296924938714e-05,2.42296924938714e-05,2.42108100564881e-05,2.35632247811558e-05,2.25609425455465e-05,2.25609425455465e-05,2.25609425455465e-05,2.25609425455465e-05,2.12883659545406e-05,0
5342,0.675142,40.7377,0.000105936,0.000105936,0.000105936,8.54043721829554e-05,7.07340069285971e-05,5.9202437958991e-05,4.96940437086891e-05,4.12497014470939e-05,3.4050640660793e-05,2.79475216929363e-05,2.07039305655145e-05,1.50665440118262e-05,1.50665440118262e-05,1.50665440118262e-05,1.50548025060701e-05,1.46521200512815e-05,1.40288793964982e-05,1.40288793964982e-05,1.40288793964982e-05,1.40288793964982e-05,1.32375638970687e-05,0
