"Population","shapeRisk","v_to_h","aImp","aImp_2000","aImp_2001","aImp_2002","aImp_2003","aImp_2004","aImp_2005","aImp_2006","aImp_2007","aImp_2008","aImp_2009","aImp_2010","aImp_2011","aImp_2012","aImp_2013","aImp_2014","aImp_2015","aImp_2016","aImp_2017","aImp_2018","aImp_2019","aImp_2020"
4371,0.172144,16.0423,0.000187074,0.000186662418412996,0.000186662418412996,0.000148931986222095,0.000121392240023563,0.000100383452353315,8.37079827310258e-05,6.95045565172853e-05,5.86112986808016e-05,5.86112986808016e-05,5.86112986808016e-05,5.83412012668143e-05,5.73576364366003e-05,5.61928808231238e-05,5.61928808231238e-05,5.61928808231238e-05,5.61928808231238e-05,5.52732249570527e-05,3.69344806647683e-05,3.62980252376795e-05,3.53189442613978e-05,0
4368,0.342509,29.5383,0.000125946,0.000125668906151807,0.000125668906151807,0.000100267209429039,8.17263064990731e-05,6.7582316570398e-05,5.63556966389865e-05,4.67933591793943e-05,3.9459564790683e-05,3.9459564790683e-05,3.9459564790683e-05,3.92777239742038e-05,3.86155472093613e-05,3.78313852707974e-05,3.78313852707974e-05,3.78313852707974e-05,3.78313852707974e-05,3.72122346795437e-05,2.48658290398714e-05,2.4437340766674e-05,2.37781827188493e-05,0
4392,0.115384,19.037,0.000180638,0.000180240578259335,0.000180240578259335,0.000143808204919908,0.000117215922326867,9.69299104429165e-05,8.08281353077768e-05,6.7113356640524e-05,5.65948649791132e-05,5.65948649791132e-05,5.65948649791132e-05,5.63340598609898e-05,5.53843331015245e-05,5.42596491555611e-05,5.42596491555611e-05,5.42596491555611e-05,5.42596491555611e-05,5.33716326683135e-05,3.56638053300962e-05,3.50492461960718e-05,3.41038490302788e-05,0
4622,0.90436,64.7484,7.67649e-05,7.6596009510845e-05,7.6596009510845e-05,6.11135113866197e-05,4.98127113665436e-05,4.11918582034757e-05,3.43491608857934e-05,2.85208544778738e-05,2.40508594572301e-05,2.40508594572301e-05,2.40508594572301e-05,2.39400263057767e-05,2.35364252931566e-05,2.30584735297209e-05,2.30584735297209e-05,2.30584735297209e-05,2.30584735297209e-05,2.26810972476435e-05,1.51558833123944e-05,1.48947169439256e-05,1.4492955858814e-05,0
4151,0.897658,57.3558,8.69055e-05,8.671429917247e-05,8.671429917247e-05,6.91865717770737e-05,5.63929424472012e-05,4.66332794428463e-05,3.88866656682979e-05,3.22884432706466e-05,2.72279644285384e-05,2.72279644285384e-05,2.72279644285384e-05,2.71024902802802e-05,2.66455738014955e-05,2.61044848796411e-05,2.61044848796411e-05,2.61044848796411e-05,2.61044848796411e-05,2.56772574035149e-05,1.71579669511104e-05,1.68623006526463e-05,1.64074671547564e-05,0
4340,0.503117,14.9946,0.000226355,0.000225856996268181,0.000225856996268181,0.000180204088977102,0.000146881664424418,0.000121461541194579,0.000101284627639765,8.40988266165802e-05,7.091824899715e-05,7.091824899715e-05,7.091824899715e-05,7.05914376810768e-05,6.94013481061326e-05,6.79920220806643e-05,6.79920220806643e-05,6.79920220806643e-05,6.79920220806643e-05,6.68792608013603e-05,4.46898252609856e-05,4.39197296400084e-05,4.27350654195062e-05,0
4399,0.33317,32.7537,9.13777e-05,9.1176659883347e-05,9.1176659883347e-05,7.27469469696844e-05,5.92949511487491e-05,4.90330510605724e-05,4.08877927109104e-05,3.39500225262171e-05,2.8629128940765e-05,2.8629128940765e-05,2.8629128940765e-05,2.84971978307973e-05,2.80167682040942e-05,2.74478345787825e-05,2.74478345787825e-05,2.74478345787825e-05,2.74478345787825e-05,2.69986217654943e-05,1.80409244140875e-05,1.77300429817137e-05,1.72518035271322e-05,0
4894,0.318687,28.128,9.84016e-05,9.81851065979681e-05,9.81851065979681e-05,7.83387629250035e-05,6.385275690851e-05,5.28020586777958e-05,4.403070139894e-05,3.65596478858169e-05,3.08297549005675e-05,3.08297549005675e-05,3.08297549005675e-05,3.06876826848015e-05,3.01703240299548e-05,2.95576583683713e-05,2.95576583683713e-05,2.95576583683713e-05,2.95576583683713e-05,2.90739160596016e-05,1.94276702940134e-05,1.90928924395054e-05,1.85778923080298e-05,0
4659,0.624803,31.2984,0.000238038,0.00023751429249491,0.00023751429249491,0.000189505073587645,0.000154462758217223,0.000127730610513906,0.000106512293495237,8.84394711411611e-05,7.45785962527163e-05,7.45785962527163e-05,7.45785962527163e-05,7.42349170229425e-05,7.29834026219328e-05,7.15013361844764e-05,7.15013361844764e-05,7.15013361844764e-05,7.15013361844764e-05,7.0331141272047e-05,4.69964287313048e-05,4.61865856908322e-05,4.4940776666424e-05,0
4639,0.987881,38.1439,0.000219713,0.000219229609335208,0.000219229609335208,0.000174916308459835,0.000142571673414248,0.000117897460186364,9.831260362093e-05,8.16310905100779e-05,6.88372743783474e-05,6.88372743783474e-05,6.88372743783474e-05,6.8520052780908e-05,6.73648843473425e-05,6.59969125816041e-05,6.59969125816041e-05,6.59969125816041e-05,6.59969125816041e-05,6.4916803377214e-05,4.33784788388458e-05,4.26309803556147e-05,4.14810780787522e-05,0
4496,0.497043,54.495,0.000128356,0.000128073603909782,0.000128073603909782,0.000102185841022928,8.32901544868041e-05,6.88755166953298e-05,5.74340733154984e-05,4.76887587603444e-05,4.0214630859836e-05,4.0214630859836e-05,4.0214630859836e-05,4.00293104857073e-05,3.93544628460196e-05,3.85552958237536e-05,3.85552958237536e-05,3.85552958237536e-05,3.85552958237536e-05,3.79242976714426e-05,2.53416412767514e-05,2.49049538012101e-05,2.42331826422484e-05,0
4079,0.331615,30.4959,0.000110949,0.000110704901057889,0.000110704901057889,8.83279073487242e-05,7.19947594982426e-05,5.95349629298992e-05,4.96451509885103e-05,4.12214473472331e-05,3.47609233636756e-05,3.47609233636756e-05,3.47609233636756e-05,3.46007352136148e-05,3.40174070421564e-05,3.33266190622148e-05,3.33266190622148e-05,3.33266190622148e-05,3.33266190622148e-05,3.27811937295404e-05,2.19049343857264e-05,2.15274682857869e-05,2.09467993780954e-05,0
4385,0.318631,35.5312,3.50718e-05,3.49946385178962e-05,3.49946385178962e-05,2.79211052010652e-05,2.27580762888396e-05,1.88194423823995e-05,1.56931996362188e-05,1.30304045739276e-05,1.09881851303406e-05,1.09881851303406e-05,1.09881851303406e-05,1.09375484706023e-05,1.07531541185689e-05,1.05347909257964e-05,1.05347909257964e-05,1.05347909257964e-05,1.05347909257964e-05,1.03623779416101e-05,6.92431187112384e-06,6.8049920434205e-06,6.62143830434422e-06,0
