"Population","shapeRisk","v_to_h","aImp","aImp_2000","aImp_2001","aImp_2002","aImp_2003","aImp_2004","aImp_2005","aImp_2006","aImp_2007","aImp_2008","aImp_2009","aImp_2010","aImp_2011","aImp_2012","aImp_2013","aImp_2014","aImp_2015","aImp_2016","aImp_2017","aImp_2018","aImp_2019","aImp_2020"
3682,0.258935,0.226246,0.000118217,0.000118041206156846,0.000118041206156846,0.000118041206156846,0.000118041206156846,0.000118041206156846,0.000117755372339458,0.000117558121195443,0.000116896046499628,0.000116713542344235,9.36048835445059e-05,9.36048835445059e-05,7.40418951277975e-05,6.08262615593722e-05,6.08262615593722e-05,6.08262615593722e-05,5.70275696972671e-05,4.27251141548311e-05,3.20878558568031e-05,3.13353472279573e-05,3.02017933143497e-05,0
3710,0.392421,29.4435,1.19758e-05,1.1957991462253e-05,1.1957991462253e-05,1.1957991462253e-05,1.1957991462253e-05,1.1957991462253e-05,1.1929035486122e-05,1.19090532479456e-05,1.18419827408092e-05,1.18234944247113e-05,9.48250559862197e-06,9.48250559862197e-06,7.50070571636463e-06,6.16191531829373e-06,6.16191531829373e-06,6.16191531829373e-06,5.7770944041934e-06,4.32820509821283e-06,3.25061322965312e-06,3.17438144541454e-06,3.05954842682515e-06,0
3935,0.25972,26.6008,3.0379e-06,3.03338250999335e-06,3.03338250999335e-06,3.03338250999335e-06,3.03338250999335e-06,3.03338250999335e-06,3.0260372503958e-06,3.02096835801649e-06,3.0039545891134e-06,2.9992646597998e-06,2.40542625612099e-06,2.40542625612099e-06,1.90270327625245e-06,1.5630924485583e-06,1.5630924485583e-06,1.5630924485583e-06,1.46547496538846e-06,1.0979353586283e-06,8.24582736047965e-07,8.0524502688963e-07,7.76115346436323e-07,0
3093,0.805888,26.3695,3.23913e-05,3.23431327219288e-05,3.23431327219288e-05,3.23431327219288e-05,3.23431327219288e-05,3.23431327219288e-05,3.22648146379886e-05,3.22107680881595e-05,3.20293605063856e-05,3.19793546117296e-05,2.56476129859086e-05,2.56476129859086e-05,2.02873803061576e-05,1.66663143714364e-05,1.66663143714364e-05,1.66663143714364e-05,1.5625477878267e-05,1.17066241752318e-05,8.79202961853597e-06,8.58584325997896e-06,8.27525100267384e-06,0
3071,0.258587,17.1937,5.2247e-05,5.21693064286588e-05,5.21693064286588e-05,5.21693064286588e-05,5.21693064286588e-05,5.21693064286588e-05,5.20429797628064e-05,5.19558029564132e-05,5.1663193461736e-05,5.15825342113171e-05,4.13694675939146e-05,4.13694675939146e-05,3.27234399007083e-05,2.68826792059731e-05,2.68826792059731e-05,2.68826792059731e-05,2.52038153055239e-05,1.88827244748848e-05,1.41814984727272e-05,1.38489209387743e-05,1.33479372281045e-05,0
1462,0.827214,0.0243808,0.000153595,0.000153366597525405,0.000153366597525405,0.000153366597525405,0.000153366597525405,0.000153366597525405,0.000152995224159631,0.00015273894300324,0.000151878733702516,0.000151641612766039,0.000121617382339413,0.000121617382339413,9.61999110293279e-05,7.90293244136781e-05,7.90293244136781e-05,7.90293244136781e-05,7.40938237956617e-05,5.55111693632158e-05,4.16905709020334e-05,4.07128641183425e-05,3.92400792112601e-05,0
1380,0.192728,0.733028,0.000123142,0.000122958882466704,0.000122958882466704,0.000122958882466704,0.000122958882466704,0.000122958882466704,0.000122661140619586,0.000122455671859794,0.000121766014685343,0.000121575907283672,9.75045261632214e-05,9.75045261632214e-05,7.71265304467821e-05,6.33603246651854e-05,6.33603246651854e-05,6.33603246651854e-05,5.94033767365173e-05,4.45050712440191e-05,3.34246575866284e-05,3.26407989404664e-05,3.1460020405827e-05,0
1462,0.100728,16.3477,1.78331e-05,1.78065814012846e-05,1.78065814012846e-05,1.78065814012846e-05,1.78065814012846e-05,1.78065814012846e-05,1.77634632114399e-05,1.77337077669916e-05,1.76338334320149e-05,1.76063025789775e-05,1.41203485855463e-05,1.41203485855463e-05,1.11692609354283e-05,9.17567528371081e-06,9.17567528371081e-06,9.17567528371081e-06,8.60264050998024e-06,6.44510716085265e-06,4.84047084835477e-06,4.72695450443578e-06,4.55595726802515e-06,0
1021,0.149395,22.7064,8.5402e-06,8.52750034953264e-06,8.52750034953264e-06,8.52750034953264e-06,8.52750034953264e-06,8.52750034953264e-06,8.50685122151165e-06,8.49260145861696e-06,8.44477204053663e-06,8.43158762553812e-06,6.76217825225466e-06,6.76217825225466e-06,5.34891422359235e-06,4.3941940581249e-06,4.3941940581249e-06,4.3941940581249e-06,4.11977000540193e-06,3.0865359458038e-06,2.31808205747287e-06,2.26371953607519e-06,2.18182964601715e-06,0
1106,0.163795,9.1012,3.69384e-05,3.68834709855948e-05,3.68834709855948e-05,3.68834709855948e-05,3.68834709855948e-05,3.68834709855948e-05,3.67941585865303e-05,3.67325249665086e-05,3.6525651336287e-05,3.64686255997725e-05,2.92480322654134e-05,2.92480322654134e-05,2.31353285820875e-05,1.90059363711202e-05,1.90059363711202e-05,1.90059363711202e-05,1.7818986952008e-05,1.33500034402566e-05,1.00262572623306e-05,9.79112640352214e-06,9.43693311590358e-06,0
951,0.389151,0.592456,0.00010528,0.000105123444040982,0.000105123444040982,0.000105123444040982,0.000105123444040982,0.000105123444040982,0.000104868890260269,0.000104693225166061,0.000104103604181131,0.000103941072248502,8.33612943956079e-05,8.33612943956079e-05,6.59391688086698e-05,5.41697794477166e-05,5.41697794477166e-05,5.41697794477166e-05,5.0786794942591e-05,3.80495192588258e-05,2.85763423585798e-05,2.7906184018875e-05,2.68966798356813e-05,0
2849,0.315527,1.68422,0.000101964,0.000101812375077837,0.000101812375077837,0.000101812375077837,0.000101812375077837,0.000101812375077837,0.000101565838967497,0.00010139570678982,0.000100824657073754,0.000100667244402985,8.07356669999408e-05,8.07356669999408e-05,6.38622854142023e-05,5.24635960448991e-05,5.24635960448991e-05,5.24635960448991e-05,4.91871652690573e-05,3.68510750542071e-05,2.7676274432468e-05,2.70272240435084e-05,2.60495161736835e-05,0
2871,0.823615,27.2395,6.8533e-06,6.84310884352264e-06,6.84310884352264e-06,6.84310884352264e-06,6.84310884352264e-06,6.84310884352264e-06,6.82653842724829e-06,6.81510334375537e-06,6.77672141465185e-06,6.76614124658678e-06,5.42648137235391e-06,5.42648137235391e-06,4.29237182367455e-06,3.52623242295817e-06,3.52623242295817e-06,3.52623242295817e-06,3.30601388468901e-06,2.47686901915379e-06,1.86020371472317e-06,1.81657913123628e-06,1.75086451289774e-06,0
4399,0.801635,73.557,4.2695e-06,4.26315106699253e-06,4.26315106699253e-06,4.26315106699253e-06,4.26315106699253e-06,4.26315106699253e-06,4.25282795370647e-06,4.24570407338998e-06,4.22179272465178e-06,4.21520144343634e-06,3.38061404276261e-06,3.38061404276261e-06,2.67408131866087e-06,2.19678831071453e-06,2.19678831071453e-06,2.19678831071453e-06,2.05959556427994e-06,1.54305112533774e-06,1.15887816964245e-06,1.13170072823506e-06,1.09076153645936e-06,0
4412,0.648885,16.8949,7.3991e-06,7.38809721508008e-06,7.38809721508008e-06,7.38809721508008e-06,7.38809721508008e-06,7.38809721508008e-06,7.37020712314546e-06,7.35786134428383e-06,7.3164226604921e-06,7.30499988292067e-06,5.85864887312446e-06,5.85864887312446e-06,4.63421831242619e-06,3.80706321344605e-06,3.80706321344605e-06,3.80706321344605e-06,3.56930636834845e-06,2.67412802002259e-06,2.00835120388838e-06,1.96125233827942e-06,1.89030417716745e-06,0
4286,0.845922,35.5674,2.31047e-05,2.30703423018017e-05,2.30703423018017e-05,2.30703423018017e-05,2.30703423018017e-05,2.30703423018017e-05,2.30144780470786e-05,2.2975926666929e-05,2.28465287188809e-05,2.28108595362838e-05,1.82944310279464e-05,1.82944310279464e-05,1.44709794222423e-05,1.18880746885036e-05,1.18880746885036e-05,1.18880746885036e-05,1.11456464771094e-05,8.3503298596067e-06,6.27135084814095e-06,6.12427820954503e-06,5.90273288943261e-06,0
1524,0.497738,2.39074,2.38395e-05,2.38040496221029e-05,2.38040496221029e-05,2.38040496221029e-05,2.38040496221029e-05,2.38040496221029e-05,2.37464087135228e-05,2.37066312817848e-05,2.35731180839293e-05,2.35363145124255e-05,1.88762497886027e-05,1.88762497886027e-05,1.49312007486159e-05,1.22661517585851e-05,1.22661517585851e-05,1.22661517585851e-05,1.15001120633919e-05,8.61589584318749e-06,6.47079895191265e-06,6.31904895438801e-06,6.0904578167052e-06,0
1497,0.169082,9.46518,2.22037e-05,2.21706821281607e-05,2.21706821281607e-05,2.21706821281607e-05,2.21706821281607e-05,2.21706821281607e-05,2.21169963779628e-05,2.20799483626488e-05,2.19555964680527e-05,2.19213182549777e-05,1.75810141752637e-05,1.75810141752637e-05,1.39066633973885e-05,1.14244826360492e-05,1.14244826360492e-05,1.14244826360492e-05,1.0711006448203e-05,8.0246971007522e-06,6.02679077533434e-06,5.88545343939869e-06,5.67254758802732e-06,0
1314,0.286247,18.8268,2.61537e-05,2.61148083056101e-05,2.61148083056101e-05,2.61148083056101e-05,2.61148083056101e-05,2.61148083056101e-05,2.60515719528874e-05,2.60079331594378e-05,2.58614592769002e-05,2.58210830287389e-05,2.07086463263147e-05,2.07086463263147e-05,1.6380634871498e-05,1.34568784264983e-05,1.34568784264983e-05,1.34568784264983e-05,1.26164760532869e-05,9.45227689817205e-06,7.09894647742772e-06,6.93246547278163e-06,6.68168403702942e-06,0
1745,0.374687,27.849,3.2833e-06,3.27841758947337e-06,3.27841758947337e-06,3.27841758947337e-06,3.27841758947337e-06,3.27841758947337e-06,3.27047898358226e-06,3.26500062868282e-06,3.24661249627572e-06,3.2415437168836e-06,2.59973535229008e-06,2.59973535229008e-06,2.05640266859333e-06,1.68935825285608e-06,1.68935825285608e-06,1.68935825285608e-06,1.58385527958785e-06,1.1866260123718e-06,8.91192105489411e-07,8.70292306128155e-07,8.38809545065466e-07,0
1773,0.490167,33.8595,1.04261e-05,1.04105959338496e-05,1.04105959338496e-05,1.04105959338496e-05,1.04105959338496e-05,1.04105959338496e-05,1.03853869371446e-05,1.03679904531142e-05,1.03095990459051e-05,1.02935031665093e-05,8.25544444811975e-06,8.25544444811975e-06,6.53009468005388e-06,5.36454727868387e-06,5.36454727868387e-06,5.36454727868387e-06,5.02952320242162e-06,3.76812398123522e-06,2.82997533306221e-06,2.76360814208959e-06,2.66363481795969e-06,0
1682,0.197382,14.9328,1.7029e-05,1.70036771331106e-05,1.70036771331106e-05,1.70036771331106e-05,1.70036771331106e-05,1.70036771331106e-05,1.69625031557952e-05,1.69340893935491e-05,1.68387184232569e-05,1.68124289449063e-05,1.34836576962653e-05,1.34836576962653e-05,1.06656355019267e-05,8.76194124444496e-06,8.76194124444496e-06,8.76194124444496e-06,8.21474478606936e-06,6.1544952836108e-06,4.62221251922736e-06,4.51381466239952e-06,4.35052774431816e-06,0
552,0.195403,2.48761,7.37825e-05,7.36727821994089e-05,7.36727821994089e-05,7.36727821994089e-05,7.36727821994089e-05,7.36727821994089e-05,7.34943854068035e-05,7.33712755111596e-05,7.29580563781755e-05,7.28441504860854e-05,5.84213972620055e-05,5.84213972620055e-05,4.62115950097424e-05,3.79633525085595e-05,3.79633525085595e-05,3.79633525085595e-05,3.55924838321782e-05,2.66659256716785e-05,2.00269185037226e-05,1.95572570514119e-05,1.88497746958221e-05,0
541,0.166559,7.4586,2.85437e-05,2.85012542712061e-05,2.85012542712061e-05,2.85012542712061e-05,2.85012542712061e-05,2.85012542712061e-05,2.84322391994874e-05,2.83846125681278e-05,2.82247534827598e-05,2.81806875374198e-05,2.26010617291025e-05,2.26010617291025e-05,1.78775441938073e-05,1.4686606512365e-05,1.4686606512365e-05,1.4686606512365e-05,1.37694057637047e-05,1.03160530287628e-05,7.74766853515003e-06,7.5659740195627e-06,7.29227545807119e-06,0
639,0.987489,0.517467,0.000169866,0.000169613401837628,0.000169613401837628,0.000169613401837628,0.000169613401837628,0.000169613401837628,0.000169202687243074,0.000168919257086418,0.000167967921996885,0.000167705681787272,0.00013450085138492,0.00013450085138492,0.000106390794536982,8.74012514785888e-05,8.74012514785888e-05,8.74012514785888e-05,8.19429113765023e-05,6.13917138907647e-05,4.61070380991881e-05,4.50257584968675e-05,4.33969549484027e-05,0
2118,0.667576,3.19056,7.3093e-06,7.29843075160288e-06,7.29843075160288e-06,7.29843075160288e-06,7.29843075160288e-06,7.29843075160288e-06,7.28075778475857e-06,7.26856184181505e-06,7.22762608321754e-06,7.21634193945643e-06,5.78754472953854e-06,5.78754472953854e-06,4.57797460650846e-06,3.76085836737457e-06,3.76085836737457e-06,3.76085836737457e-06,3.52598708466832e-06,2.64167316791922e-06,1.98397662615471e-06,1.93744938116606e-06,1.86736229030153e-06,0
2028,0.867827,16.5138,2.1038e-05,2.10067155749827e-05,2.10067155749827e-05,2.10067155749827e-05,2.10067155749827e-05,2.10067155749827e-05,2.09558483405731e-05,2.09207453556572e-05,2.08029219677302e-05,2.07704433697186e-05,1.66580063781801e-05,1.66580063781801e-05,1.31765599676747e-05,1.08246943391058e-05,1.08246943391058e-05,1.08246943391058e-05,1.01486758358874e-05,7.60339842484022e-06,5.7103826988963e-06,5.57646560969882e-06,5.37473737065979e-06,0
1190,0.155038,16.2287,3.41291e-05,3.40783485374153e-05,3.40783485374153e-05,3.40783485374153e-05,3.40783485374153e-05,3.40783485374153e-05,3.3995828671939e-05,3.39388825134404e-05,3.3747742377073e-05,3.36950536557403e-05,2.70236127712495e-05,2.70236127712495e-05,2.13758024903873e-05,1.7560465613118e-05,1.7560465613118e-05,1.7560465613118e-05,1.64637880250302e-05,1.23346870035752e-05,9.2637238410924e-06,9.04647554139994e-06,8.71921994471836e-06,0
1259,0.323073,0.0261535,0.000134523,0.00013432295842254,0.00013432295842254,0.00013432295842254,0.00013432295842254,0.00013432295842254,0.00013399769875078,0.0001337732402072,0.000133019843704961,0.00013281216624321,0.000106516065786288,0.000106516065786288,8.42546999016783e-05,6.9216197194578e-05,6.9216197194578e-05,6.9216197194578e-05,6.48935411860008e-05,4.8618308123623e-05,3.65138231677739e-05,3.56575189282971e-05,3.43676107668631e-05,0
1153,0.310745,34.8561,2.655e-06,2.65105189901983e-06,2.65105189901983e-06,2.65105189901983e-06,2.65105189901983e-06,2.65105189901983e-06,2.64463244339868e-06,2.64020243936067e-06,2.62533310316208e-06,2.62123429730026e-06,2.102243888871e-06,2.102243888871e-06,1.66288462373688e-06,1.36607868952971e-06,1.36607868952971e-06,1.36607868952971e-06,1.28076501303742e-06,9.59550471430306e-07,7.20651490900736e-07,7.03751126235876e-07,6.78292980278626e-07,0
707,0.0794015,1.86897,8.4428e-06,8.43024518758743e-06,8.43024518758743e-06,8.43024518758743e-06,8.43024518758743e-06,8.43024518758743e-06,8.40983156049959e-06,8.39574431451386e-06,8.34846038545265e-06,8.33542633719272e-06,6.685056386049e-06,6.685056386049e-06,5.28791047129405e-06,4.34407877964648e-06,4.34407877964648e-06,4.34407877964648e-06,4.07278450172214e-06,3.05133435788768e-06,2.29164459788201e-06,2.23790207479633e-06,2.15694612952783e-06,0
699,0.0642133,4.56439,3.96373e-05,3.95783576033969e-05,3.95783576033969e-05,3.95783576033969e-05,3.95783576033969e-05,3.95783576033969e-05,3.94825196040402e-05,3.94163827305728e-05,3.91943939020588e-05,3.91332015865837e-05,3.13850364204695e-05,3.13850364204695e-05,2.4825708736891e-05,2.03946029531058e-05,2.03946029531058e-05,2.03946029531058e-05,1.91209292095171e-05,1.43254199251316e-05,1.07588246102749e-05,1.05065139419771e-05,1.01264415620331e-05,0
692,0.346035,21.3104,3.9321e-06,3.9262527955314e-06,3.9262527955314e-06,3.9262527955314e-06,3.9262527955314e-06,3.9262527955314e-06,3.91674547295215e-06,3.91018456188704e-06,3.88816282295428e-06,3.88209242200164e-06,3.11345883067031e-06,3.11345883067031e-06,2.46276031223946e-06,2.02318569306959e-06,2.02318569306959e-06,2.02318569306959e-06,1.89683469218999e-06,1.4211105117556e-06,1.06729707245604e-06,1.04226734594052e-06,1.00456340028384e-06,0
