"Population","shapeRisk","v_to_h","aImp","aImp_2000","aImp_2001","aImp_2002","aImp_2003","aImp_2004","aImp_2005","aImp_2006","aImp_2007","aImp_2008","aImp_2009","aImp_2010","aImp_2011","aImp_2012","aImp_2013","aImp_2014","aImp_2015","aImp_2016","aImp_2017","aImp_2018","aImp_2019","aImp_2020"
560,0.984306,7.76106,4.2037e-06,4.19991645479277e-06,4.19991645479277e-06,4.19991645479277e-06,4.19956444026645e-06,4.19956444026645e-06,4.19956444026645e-06,4.18203596060035e-06,4.17314582290282e-06,4.09320342907826e-06,4.07542252332216e-06,4.07436525913123e-06,3.9939132352064e-06,3.89812246804691e-06,3.75649549928227e-06,3.6477942306625e-06,3.50634259778098e-06,2.60996476532362e-06,1.84169840350853e-06,1.27412404971401e-06,8.90524990907944e-07,0
542,0.113209,5.43188,3.62405e-05,3.62078816946779e-05,3.62078816946779e-05,3.62078816946779e-05,3.62048469437581e-05,3.62048469437581e-05,3.62048469437581e-05,3.60537322430565e-05,3.59770895151675e-05,3.52878984874065e-05,3.51346075972255e-05,3.51254928214537e-05,3.44319082238261e-05,3.3606086852833e-05,3.2385107201213e-05,3.14479831615777e-05,3.0228515097386e-05,2.25007560191524e-05,1.58774581897735e-05,1.09843453680473e-05,7.67730117111101e-06,0
301,0.453333,41.558,3.42507e-05,3.42198726165451e-05,3.42198726165451e-05,3.42198726165451e-05,3.42170044899098e-05,3.42170044899098e-05,3.42170044899098e-05,3.40741868058459e-05,3.4001752179389e-05,3.33504014768729e-05,3.32055270879345e-05,3.31969127627866e-05,3.2541409721218e-05,3.17609304223266e-05,3.06069891755519e-05,2.97213183281756e-05,2.85688056744813e-05,2.1265342481069e-05,1.50056996239146e-05,1.0381245233851e-05,7.25577569904863e-06,0
276,0.964107,35.7391,3.13836e-05,3.13553531533255e-05,3.13553531533255e-05,3.13553531533255e-05,3.13527251153855e-05,3.13527251153855e-05,3.13527251153855e-05,3.12218625908359e-05,3.11554914117689e-05,3.05586647802699e-05,3.04259177160438e-05,3.04180244894904e-05,2.98173931080771e-05,2.91022471366171e-05,2.80449014323751e-05,2.72333694168041e-05,2.61773327192043e-05,1.94852368649072e-05,1.37495839418489e-05,9.51223910521792e-06,6.64840024375159e-06,0
847,0.682596,0.170246,0.000240976,0.000240759109263302,0.000240759109263302,0.000240759109263302,0.000240738930122903,0.000240738930122903,0.000240738930122903,0.00023973411462322,0.000239224489811316,0.000234641813051731,0.000233622527292642,0.000233561919900185,0.000228950028728762,0.000223458848124289,0.000215340119284213,0.000209108847569552,0.000201000169812991,0.000149615545659449,0.000105574877960814,7.30388269866743e-05,5.10491115467405e-05,0
557,0.197409,12.8613,6.392e-06,6.38624687276338e-06,6.38624687276338e-06,6.38624687276338e-06,6.38571161171899e-06,6.38571161171899e-06,6.38571161171899e-06,6.3590584152431e-06,6.34554038109162e-06,6.22398275772968e-06,6.19694573092163e-06,6.19533809176839e-06,6.07300554260279e-06,5.92734943401191e-06,5.71199639161032e-06,5.54670902357321e-06,5.33162259081667e-06,3.96862163806851e-06,2.80042253139533e-06,1.93738871131906e-06,1.35410132547127e-06,0
563,0.0551227,2.12708,0.000147802,0.000147668970633319,0.000147668970633319,0.000147668970633319,0.000147656593810277,0.000147656593810277,0.000147656593810277,0.000147040292848836,0.000146727715801956,0.000143916942984662,0.000143291766727421,0.000143254593341607,0.000140425901941142,0.000137057900664241,0.000132078299542051,0.000128256365316359,0.000123282928999982,9.17663040284421e-05,6.4754075560903e-05,4.47981737031258e-05,3.13108391907548e-05,0
319,0.839705,44.5492,3.41775e-05,3.41467385002926e-05,3.41467385002926e-05,3.41467385002926e-05,3.41438765033676e-05,3.41438765033676e-05,3.41438765033676e-05,3.40013640467727e-05,3.3929084226339e-05,3.32791255792093e-05,3.31345608132938e-05,3.31259648985316e-05,3.24718627866562e-05,3.16930515145404e-05,3.0541576450917e-05,2.96577984438631e-05,2.85077489201559e-05,2.12198945611838e-05,1.49736297038116e-05,1.03590586171945e-05,7.24026878149161e-06,0
600,0.138548,3.96376,2.12143e-05,2.11952060439399e-05,2.11952060439399e-05,2.11952060439399e-05,2.11934295751706e-05,2.11934295751706e-05,2.11934295751706e-05,2.11049707350581e-05,2.1060105961607e-05,2.0656670434497e-05,2.05669377064285e-05,2.05616021402068e-05,2.01555947250373e-05,1.96721791454879e-05,1.8957447598645e-05,1.84088781662686e-05,1.76950314656386e-05,1.3171390803579e-05,9.29427467268146e-06,6.42996641716771e-06,4.4941038405734e-06,0
778,0.144317,13.6682,1.15948e-05,1.15843640864075e-05,1.15843640864075e-05,1.15843640864075e-05,1.15833931469899e-05,1.15833931469899e-05,1.15833931469899e-05,1.15350454494776e-05,1.15105243445997e-05,1.12900242927603e-05,1.12409803443195e-05,1.12380641593298e-05,1.10161584269979e-05,1.07519448087424e-05,1.03613040928416e-05,1.00614802544629e-05,9.67132315644572e-06,7.1989008399682e-06,5.07984029521629e-06,3.51433583072626e-06,2.45627879358171e-06,0
867,0.469095,58.7239,7.2905e-06,7.28393817676492e-06,7.28393817676492e-06,7.28393817676492e-06,7.28332767603838e-06,7.28332767603838e-06,7.28332767603838e-06,7.25292793747337e-06,7.23750972283299e-06,7.09886519011705e-06,7.06802766759764e-06,7.06619404850398e-06,6.92666566150588e-06,6.76053520786355e-06,6.51491077800924e-06,6.32638957076978e-06,6.08106922690064e-06,4.52647622846347e-06,3.19406765724932e-06,2.20972033790232e-06,1.54444238318966e-06,0
395,0.0564094,3.16746,8.16765e-05,8.16029869685948e-05,8.16029869685948e-05,8.16029869685948e-05,8.15961474428295e-05,8.15961474428295e-05,8.15961474428295e-05,8.1255574883073e-05,8.10828424493476e-05,7.95295881901921e-05,7.91841110750345e-05,7.91635687816522e-05,7.76004125782848e-05,7.57392296694421e-05,7.29874645305633e-05,7.08754348504188e-05,6.81270764297305e-05,5.07107517555855e-05,3.57835905640661e-05,2.47558086796075e-05,1.73026058995392e-05,0
296,0.299641,21.0173,3.45792e-05,3.45480769497277e-05,3.45480769497277e-05,3.45480769497277e-05,3.45451813147612e-05,3.45451813147612e-05,3.45451813147612e-05,3.44009938598833e-05,3.43278645096751e-05,3.36702666733551e-05,3.35240027876541e-05,3.35153058421273e-05,3.28535158414847e-05,3.20655509306296e-05,3.09005421815975e-05,3.00063768253978e-05,2.88428103711464e-05,2.14692993346525e-05,1.51496199620815e-05,1.04808122225351e-05,7.32536616923282e-06,0
325,0.0154837,0.309392,0.000156612,0.000156471041182293,0.000156471041182293,0.000156471041182293,0.000156457926616792,0.000156457926616792,0.000156457926616792,0.000155804889944939,0.000155473681189537,0.000152495367279969,0.00015183292628459,0.000151793537113272,0.000148796236551644,0.000145227479593159,0.000139951060526107,0.000135901313141403,0.000130631426344333,9.72361971184583e-05,6.86138569284864e-05,4.74684481941647e-05,3.31771772191343e-05,0
339,0.145862,1.50601,5.99216e-05,5.98676674923307e-05,5.98676674923307e-05,5.98676674923307e-05,5.98626497047529e-05,5.98626497047529e-05,5.98626497047529e-05,5.96127901650236e-05,5.94860657852972e-05,5.83465277245892e-05,5.80930699796611e-05,5.80779992177267e-05,5.6931196639804e-05,5.5565748098418e-05,5.35469278753938e-05,5.19974467188586e-05,4.9981125819443e-05,3.72037168879359e-05,2.62524716453783e-05,1.81619886427059e-05,1.26939796596307e-05,0
