"Population","shapeRisk","v_to_h","aImp","aImp_2000","aImp_2001","aImp_2002","aImp_2003","aImp_2004","aImp_2005","aImp_2006","aImp_2007","aImp_2008","aImp_2009","aImp_2010","aImp_2011","aImp_2012","aImp_2013","aImp_2014","aImp_2015","aImp_2016","aImp_2017","aImp_2018","aImp_2019","aImp_2020"
831,0.177072,19.087,6.58613e-05,6.58613e-05,6.58613e-05,6.57191603667086e-05,6.57191603667086e-05,6.57087290666391e-05,6.56744190282263e-05,6.55053285792082e-05,6.53950356362415e-05,6.51802739394606e-05,6.48062190905861e-05,6.47120964330351e-05,6.44144924572744e-05,6.41866829132635e-05,6.38734216822286e-05,6.33862057180779e-05,6.29927380703302e-05,6.2848498311576e-05,6.24669601547071e-05,6.11310087357013e-05,6.09851339641714e-05,0
1165,0.195627,21.1201,2.71559e-05,2.71559e-05,2.71559e-05,2.70972930537706e-05,2.70972930537706e-05,2.709299202507e-05,2.70788453262934e-05,2.70091260324974e-05,2.69636500985284e-05,2.68750996575014e-05,2.67208695395027e-05,2.66820609299522e-05,2.65593529997206e-05,2.64654226765079e-05,2.63362589542027e-05,2.61353702987878e-05,2.59731359047586e-05,2.59136630357938e-05,2.57563474037896e-05,2.52055085479004e-05,2.51453615312428e-05,0
1100,0.456601,0.317573,8.93656e-05,8.93656e-05,8.93656e-05,8.91727341802718e-05,8.91727341802718e-05,8.91585802022985e-05,8.91120257436288e-05,8.88825910159393e-05,8.87329371976275e-05,8.84415322619544e-05,8.79339863130804e-05,8.7806273562715e-05,8.74024619486678e-05,8.70933527056638e-05,8.66682961418218e-05,8.60072046212185e-05,8.54733179165595e-05,8.52776024875455e-05,8.47599026196186e-05,8.2947182552898e-05,8.27492486147184e-05,0
445,0.203088,5.86039,4.02568e-05,4.02568e-05,4.02568e-05,4.01699191338542e-05,4.01699191338542e-05,4.01635431473396e-05,4.01425716154328e-05,4.00392174394898e-05,3.99718024181279e-05,3.98405323297001e-05,3.96118965262743e-05,3.95543653660861e-05,3.93724590913632e-05,3.92332136885039e-05,3.90417371351179e-05,3.87439331800544e-05,3.85034315743793e-05,3.84152670358686e-05,3.8182057164921e-05,3.73654755140178e-05,3.72763115967777e-05,0
647,0.152902,23.5795,7.532e-06,7.532e-06,7.532e-06,7.51574469198223e-06,7.51574469198223e-06,7.51455175239368e-06,7.51062800340413e-06,7.49129055847054e-06,7.47867728714998e-06,7.4541168077766e-06,7.41133931747923e-06,7.40057530497607e-06,7.36654085461706e-06,7.34048820328023e-06,7.30466316502325e-06,7.24894439478969e-06,7.2039468268274e-06,7.18745134521776e-06,7.14381805225912e-06,6.99103658441759e-06,6.97435412022142e-06,0
1181,0.811222,39.2315,2.80467e-05,2.80467e-05,2.80467e-05,2.79861705592961e-05,2.79861705592961e-05,2.79817284431572e-05,2.79671176876095e-05,2.78951113789506e-05,2.78481436895259e-05,2.77566885120377e-05,2.75973991550112e-05,2.75573174994785e-05,2.74305843583627e-05,2.73335728214206e-05,2.72001721176922e-05,2.69926936746346e-05,2.68251374758338e-05,2.67637137073711e-05,2.66012376216537e-05,2.60323294971036e-05,2.5970209466757e-05,0
1465,0.792588,22.822,2.76635e-05,2.76635e-05,2.76635e-05,2.7603797568594e-05,2.7603797568594e-05,2.75994161447613e-05,2.75850050148925e-05,2.75139825231346e-05,2.74676565497973e-05,2.7377450917675e-05,2.7220337919422e-05,2.71808038966019e-05,2.70558023010753e-05,2.69601162256297e-05,2.68285381659082e-05,2.66238944855636e-05,2.64586275947875e-05,2.63980430547572e-05,2.62377868678532e-05,2.56766516931805e-05,2.56153804042413e-05,0
1312,0.524225,35.7342,1.0861e-06,1.0861e-06,1.0861e-06,1.08375601566143e-06,1.08375601566143e-06,1.08358399605347e-06,1.08301819895077e-06,1.0802297763615e-06,1.07841096675167e-06,1.07486939258181e-06,1.06870096026476e-06,1.06714881024091e-06,1.06224110756766e-06,1.05848436505346e-06,1.05331846302864e-06,1.0452839228865e-06,1.03879535961461e-06,1.03641674270327e-06,1.03012490527863e-06,1.00809410971003e-06,1.00568853026719e-06,0
477,0.281191,2.23145,4.17686e-05,4.17686e-05,4.17686e-05,4.16784564181531e-05,4.16784564181531e-05,4.16718409884533e-05,4.16500818936519e-05,4.1542846364914e-05,4.14728996463161e-05,4.13366998535977e-05,4.10994778831735e-05,4.10397862033223e-05,4.0851048637833e-05,4.07065740264911e-05,4.0507906781013e-05,4.01989191248291e-05,3.99493857449579e-05,3.98579102838373e-05,3.9615942471799e-05,3.87686949920213e-05,3.86761826215986e-05,0
962,0.0478401,6.07544,4.0009e-06,4.0009e-06,4.0009e-06,3.99226539274452e-06,3.99226539274452e-06,3.99163171881995e-06,3.98954747461758e-06,3.97927567649824e-06,3.97257567155581e-06,3.95952946577714e-06,3.93680662178739e-06,3.93108891896957e-06,3.91301026357374e-06,3.8991714355422e-06,3.88014164324768e-06,3.85054456042407e-06,3.82664244018239e-06,3.81788025585259e-06,3.79470282066961e-06,3.71354730092888e-06,3.70468579389191e-06,0
